,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.16,0.06,10000.0,10000.0,"(1, 3)",Success
1,0.172,0.168,10000.0,10000.0,0.176,0.18,0.144,10000.0,10000.0,0.0,0.172,10000.0,"(1, 4)",Success
2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.564,0.0,10000.0,10000.0,"(1, 6)",Success
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.552,0.556,0.128,0.016,0.536,0.556,"(1, 7)",Success
4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.096,10000.0,10000.0,"(1, 11)",Failed
5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.296,0.004,10000.0,10000.0,"(1, 16)",Success
6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.416,0.064,10000.0,10000.0,"(1, 17)",Failed
7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(1, 20)",Failed
8,10000.0,10000.0,10000.0,10000.0,0.668,10000.0,10000.0,10000.0,10000.0,0.176,0.584,10000.0,"(2, 3)",Failed
9,10000.0,10000.0,10000.0,10000.0,0.684,10000.0,10000.0,0.696,0.244,0.112,0.624,0.636,"(2, 4)",Failed
10,10000.0,10000.0,10000.0,10000.0,0.524,0.552,0.532,0.536,0.2,0.144,0.416,10000.0,"(2, 5)",Success
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.18,0.072,0.664,10000.0,"(2, 7)",Failed
12,10000.0,0.32,10000.0,10000.0,0.312,0.316,0.328,0.324,10000.0,0.14,0.292,10000.0,"(2, 11)",Success
13,10000.0,10000.0,10000.0,10000.0,0.576,0.608,0.636,0.64,0.204,0.136,10000.0,10000.0,"(2, 12)",Failed
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.252,0.152,0.564,10000.0,"(2, 13)",Failed
15,10000.0,0.644,0.664,10000.0,0.696,10000.0,0.7,0.7,10000.0,0.196,10000.0,10000.0,"(2, 18)",Failed
16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.304,0.056,10000.0,10000.0,"(2, 20)",Failed
17,10000.0,0.14,0.084,0.088,0.136,0.144,0.112,10000.0,10000.0,0.0,0.116,0.124,"(2, 24)",Success
18,10000.0,0.24,0.196,0.192,0.212,0.212,0.168,10000.0,10000.0,10000.0,0.204,10000.0,"(2, 25)",Success
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.288,0.168,10000.0,10000.0,"(2, 26)",Failed
20,10000.0,0.58,0.58,0.58,10000.0,10000.0,0.524,0.528,10000.0,0.2,10000.0,10000.0,"(2, 29)",Success
21,10000.0,10000.0,0.432,0.436,0.448,0.452,0.44,0.44,10000.0,0.0,0.472,0.472,"(4, 1)",Success
22,10000.0,0.268,0.272,0.276,10000.0,10000.0,0.228,0.244,10000.0,0.012,0.272,10000.0,"(4, 14)",Success
23,10000.0,0.452,0.3,0.408,10000.0,10000.0,0.352,0.356,10000.0,0.06,10000.0,10000.0,"(4, 17)",Success
24,10000.0,0.496,10000.0,10000.0,10000.0,10000.0,0.524,0.528,10000.0,0.132,10000.0,10000.0,"(4, 19)",Success
25,10000.0,0.664,10000.0,10000.0,0.144,0.144,10000.0,0.652,0.2,0.04,0.256,0.5,"(4, 22)",Failed
26,10000.0,10000.0,10000.0,10000.0,0.248,10000.0,10000.0,10000.0,0.472,0.0,0.292,0.296,"(4, 23)",Failed
27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.08,10000.0,10000.0,"(4, 25)",Failed
28,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.064,10000.0,10000.0,"(4, 29)",Failed
29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.184,0.0,10000.0,10000.0,"(5, 1)",Failed
30,0.484,0.452,0.456,0.472,0.376,0.376,0.476,0.48,0.352,0.076,10000.0,10000.0,"(5, 3)",Success
31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.7,10000.0,10000.0,0.26,0.612,10000.0,"(5, 4)",Failed
32,10000.0,0.656,0.464,10000.0,0.292,0.296,10000.0,10000.0,0.312,0.0,0.304,0.412,"(5, 5)",Failed
33,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.488,0.472,10000.0,"(5, 7)",Failed
34,10000.0,0.668,0.668,0.664,0.46,0.56,0.604,0.6,10000.0,0.24,0.572,0.66,"(5, 9)",Failed
35,10000.0,0.428,0.504,0.492,0.488,10000.0,0.46,0.456,10000.0,0.312,0.484,0.496,"(5, 11)",Success
36,10000.0,0.228,0.208,10000.0,0.232,0.236,0.188,0.232,10000.0,0.216,0.24,10000.0,"(5, 13)",Success
37,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.296,0.064,0.66,10000.0,"(5, 17)",Failed
38,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.688,10000.0,0.172,10000.0,10000.0,"(5, 20)",Failed
