,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,0,1,2,2,0,4,"(1, 3)",Success
1,1,3,1,2,0,1,"(1, 4)",Success
2,2,3,3,2,2,2,"(1, 6)",Success
3,1,2,4,1,1,4,"(1, 7)",Success
4,1,1,3,2,0,1,"(1, 11)",Failed
5,0,2,1,0,0,2,"(1, 16)",Success
6,0,1,5,2,0,3,"(1, 17)",Failed
7,0,1,5,0,1,1,"(1, 20)",Failed
8,0,2,3,2,0,4,"(2, 3)",Failed
9,0,0,1,1,1,5,"(2, 4)",Failed
10,0,0,1,0,1,3,"(2, 5)",Success
11,3,1,1,1,1,5,"(2, 7)",Failed
12,1,2,1,2,0,1,"(2, 11)",Success
13,2,0,3,2,1,4,"(2, 12)",Failed
14,4,2,3,4,0,5,"(2, 13)",Failed
15,4,6,3,7,0,5,"(2, 18)",Failed
16,1,3,1,2,1,5,"(2, 20)",Failed
17,2,2,1,2,0,0,"(2, 24)",Success
18,2,1,0,1,0,1,"(2, 25)",Success
19,0,0,0,0,1,4,"(2, 26)",Failed
20,2,2,1,1,2,4,"(2, 29)",Success
21,3,1,3,1,1,6,"(4, 1)",Success
22,2,1,2,1,0,2,"(4, 14)",Success
23,3,2,2,1,0,3,"(4, 17)",Success
24,1,1,4,1,0,5,"(4, 19)",Success
25,0,0,5,0,1,4,"(4, 22)",Failed
26,1,2,2,1,0,4,"(4, 23)",Failed
27,0,0,1,0,1,4,"(4, 25)",Failed
28,1,1,2,1,1,4,"(4, 29)",Failed
29,1,3,2,4,3,5,"(5, 1)",Failed
30,1,1,2,2,0,3,"(5, 3)",Success
31,2,1,2,4,1,3,"(5, 4)",Failed
32,1,0,6,0,1,3,"(5, 5)",Failed
33,1,0,5,1,0,4,"(5, 7)",Failed
34,2,1,2,2,3,4,"(5, 9)",Failed
35,3,1,2,2,1,3,"(5, 11)",Success
36,1,1,1,1,0,2,"(5, 13)",Success
37,1,0,2,0,1,5,"(5, 17)",Failed
38,1,2,2,2,0,5,"(5, 20)",Failed
39,2,1,1,1,0,0,"(5, 21)",Success
40,2,2,1,3,1,1,"(5, 22)",Success
41,2,1,2,2,0,2,"(5, 24)",Failed
42,0,0,1,0,1,4,"(5, 27)",Failed
43,0,0,1,0,1,3,"(5, 28)",Failed
44,2,0,1,2,0,0,"(6, 1)",Success
45,2,2,6,4,1,5,"(6, 4)",Failed
46,4,3,6,3,0,8,"(6, 13)",Failed
47,1,1,2,2,0,0,"(6, 17)",Success
48,1,2,3,2,0,5,"(6, 19)",Success
49,1,1,2,1,0,0,"(6, 22)",Success
50,0,1,6,0,0,6,"(6, 24)",Success
51,1,2,1,1,0,2,"(6, 29)",Success
52,0,3,4,0,0,9,"(8, 3)",Failed
53,1,1,3,1,1,3,"(8, 5)",Success
54,1,1,1,1,0,1,"(8, 6)",Success
55,2,1,2,2,0,2,"(8, 7)",Success
56,1,0,0,1,0,2,"(8, 8)",Success
57,2,2,3,3,1,3,"(8, 9)",Success
58,3,0,3,3,0,3,"(8, 15)",Success
59,0,0,6,0,1,4,"(8, 17)",Failed
60,3,3,3,3,0,5,"(8, 18)",Success
