,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.112,0.112,0.244,10000.0,"(1, 1)",Failed
1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.116,10000.0,10000.0,"(1, 2)",Failed
2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.52,0.0,0.524,10000.0,"(1, 5)",Success
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(1, 8)",Failed
4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.076,10000.0,10000.0,"(1, 9)",Failed
5,10000.0,10000.0,10000.0,10000.0,0.648,0.676,10000.0,10000.0,0.408,0.0,0.688,10000.0,"(1, 10)",Failed
6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.036,10000.0,10000.0,"(1, 12)",Failed
7,10000.0,10000.0,10000.0,10000.0,0.588,0.592,10000.0,10000.0,10000.0,0.024,0.5,0.608,"(1, 15)",Success
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.608,0.32,0.072,10000.0,10000.0,"(1, 18)",Failed
9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.048,10000.0,10000.0,"(1, 19)",Failed
10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.636,0.06,0.616,10000.0,"(1, 21)",Failed
11,10000.0,10000.0,10000.0,10000.0,0.424,10000.0,10000.0,10000.0,10000.0,0.144,0.428,10000.0,"(1, 28)",Success
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.1,10000.0,10000.0,"(1, 30)",Failed
13,10000.0,10000.0,10000.0,10000.0,0.652,10000.0,10000.0,10000.0,0.228,0.172,0.46,10000.0,"(2, 1)",Failed
14,10000.0,10000.0,10000.0,10000.0,0.656,0.668,10000.0,10000.0,0.312,0.04,0.524,10000.0,"(2, 6)",Failed
15,10000.0,10000.0,10000.0,10000.0,0.656,0.7,10000.0,10000.0,10000.0,0.12,0.408,0.62,"(2, 8)",Failed
16,10000.0,10000.0,10000.0,10000.0,0.576,0.656,10000.0,0.62,10000.0,0.3,0.42,10000.0,"(2, 9)",Failed
17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.18,0.632,10000.0,"(2, 15)",Failed
18,10000.0,10000.0,10000.0,10000.0,0.512,0.564,10000.0,10000.0,10000.0,0.212,0.356,0.536,"(2, 16)",Failed
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.556,0.12,0.424,10000.0,"(2, 17)",Failed
20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.584,0.144,0.6,10000.0,"(2, 21)",Failed
21,10000.0,10000.0,10000.0,10000.0,0.428,0.436,10000.0,10000.0,0.16,0.0,0.336,0.412,"(2, 22)",Failed
22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.132,0.556,10000.0,"(2, 23)",Failed
23,10000.0,10000.0,10000.0,10000.0,0.556,0.624,10000.0,10000.0,0.22,0.1,0.412,10000.0,"(2, 27)",Failed
24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.304,0.148,0.66,10000.0,"(2, 28)",Failed
25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.3,0.112,0.672,10000.0,"(2, 30)",Failed
26,10000.0,10000.0,10000.0,10000.0,0.292,0.584,10000.0,10000.0,10000.0,0.072,10000.0,10000.0,"(4, 7)",Failed
27,10000.0,10000.0,10000.0,10000.0,0.472,10000.0,10000.0,10000.0,10000.0,0.008,0.432,10000.0,"(4, 13)",Failed
28,10000.0,10000.0,10000.0,10000.0,0.256,0.26,10000.0,10000.0,10000.0,0.048,0.16,0.228,"(4, 15)",Failed
29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.604,0.66,0.236,0.232,0.228,0.34,"(4, 16)",Failed
30,10000.0,10000.0,10000.0,10000.0,0.16,0.248,0.64,0.552,10000.0,0.456,0.052,0.048,"(4, 18)",Failed
31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.312,0.092,0.7,10000.0,"(4, 26)",Failed
32,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.012,10000.0,10000.0,"(4, 28)",Failed
33,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.2,0.2,0.388,10000.0,"(4, 30)",Failed
34,10000.0,0.66,0.608,10000.0,0.424,0.424,0.652,0.648,10000.0,0.22,0.392,0.584,"(5, 2)",Failed
35,10000.0,10000.0,10000.0,10000.0,0.656,10000.0,10000.0,10000.0,0.64,0.512,0.592,10000.0,"(5, 6)",Failed
36,10000.0,10000.0,0.504,10000.0,0.38,0.38,10000.0,10000.0,10000.0,0.116,0.628,10000.0,"(5, 8)",Failed
37,10000.0,10000.0,10000.0,10000.0,0.332,0.348,10000.0,10000.0,10000.0,0.328,0.344,10000.0,"(5, 10)",Failed
38,0.656,0.584,0.42,10000.0,0.328,0.576,10000.0,10000.0,10000.0,0.028,0.38,0.42,"(5, 14)",Failed
39,10000.0,10000.0,0.5,0.596,0.26,0.276,0.552,0.444,0.572,0.0,0.228,10000.0,"(5, 15)",Failed
40,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.348,0.344,0.5,10000.0,"(5, 16)",Failed
41,10000.0,10000.0,10000.0,10000.0,0.48,0.496,10000.0,10000.0,10000.0,0.104,0.452,10000.0,"(5, 18)",Failed
42,10000.0,10000.0,10000.0,10000.0,0.62,0.632,10000.0,10000.0,10000.0,0.028,0.684,10000.0,"(5, 19)",Failed
43,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.308,10000.0,10000.0,"(5, 25)",Failed
44,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.516,0.456,10000.0,10000.0,"(5, 26)",Failed
45,10000.0,10000.0,10000.0,10000.0,0.592,0.608,10000.0,10000.0,10000.0,0.22,0.576,10000.0,"(5, 29)",Failed
46,10000.0,10000.0,10000.0,10000.0,0.348,0.344,10000.0,10000.0,10000.0,0.336,0.252,0.304,"(6, 2)",Success
47,10000.0,0.364,0.244,0.336,0.008,10000.0,0.364,0.36,10000.0,10000.0,0.028,10000.0,"(6, 3)",Failed
48,10000.0,0.36,0.312,0.512,0.22,0.236,0.64,0.564,0.66,0.36,0.236,0.4,"(6, 5)",Failed
49,0.42,10000.0,0.38,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.4,10000.0,"(6, 9)",Success
50,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.08,0.62,10000.0,"(6, 10)",Failed
51,10000.0,10000.0,0.448,0.436,0.444,0.412,10000.0,10000.0,10000.0,0.008,0.352,10000.0,"(6, 12)",Failed
52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.508,0.0,10000.0,10000.0,"(6, 14)",Failed
53,10000.0,10000.0,0.192,0.188,10000.0,10000.0,10000.0,10000.0,10000.0,0.008,0.156,10000.0,"(6, 16)",Success
54,10000.0,10000.0,0.548,10000.0,0.448,0.58,10000.0,10000.0,10000.0,0.004,10000.0,10000.0,"(6, 18)",Failed
55,10000.0,10000.0,0.584,10000.0,0.492,0.54,10000.0,10000.0,0.544,0.0,0.46,10000.0,"(6, 20)",Failed
56,10000.0,10000.0,10000.0,10000.0,0.5,0.648,10000.0,10000.0,0.672,0.16,10000.0,10000.0,"(6, 21)",Failed
57,10000.0,10000.0,0.452,10000.0,0.548,0.552,10000.0,10000.0,0.472,0.028,0.576,10000.0,"(6, 23)",Failed
58,10000.0,0.332,0.296,0.3,0.324,0.324,0.332,0.324,10000.0,0.0,0.304,10000.0,"(6, 30)",Success
59,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.136,0.088,10000.0,10000.0,"(8, 1)",Failed
60,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.488,0.492,10000.0,10000.0,"(8, 2)",Failed
61,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.044,0.56,10000.0,"(8, 4)",Failed
62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.248,10000.0,0.0,0.0,0.0,0.32,"(8, 10)",Failed
63,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.312,0.0,10000.0,10000.0,"(8, 11)",Failed
64,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.104,10000.0,10000.0,"(8, 14)",Failed
65,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.42,0.62,10000.0,"(8, 16)",Failed
66,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.156,0.62,0.704,"(8, 20)",Failed
67,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.032,0.66,10000.0,"(8, 22)",Failed
