,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,0,0,4,0,2,3,"(1, 1)",Failed
1,0,0,1,0,1,3,"(1, 2)",Failed
2,0,1,3,1,1,5,"(1, 5)",Success
3,0,0,2,2,0,4,"(1, 8)",Failed
4,0,0,3,4,1,5,"(1, 9)",Failed
5,0,0,3,0,0,3,"(1, 10)",Failed
6,0,0,0,0,0,1,"(1, 12)",Failed
7,0,1,4,0,0,5,"(1, 15)",Success
8,0,0,4,0,2,2,"(1, 18)",Failed
9,0,1,4,1,0,2,"(1, 19)",Failed
10,0,0,4,0,0,7,"(1, 21)",Failed
11,1,1,4,0,0,3,"(1, 28)",Success
12,0,0,1,0,0,3,"(1, 30)",Failed
13,0,1,1,1,0,7,"(2, 1)",Failed
14,0,0,1,2,1,4,"(2, 6)",Failed
15,0,0,2,1,0,5,"(2, 8)",Failed
16,0,1,2,1,0,9,"(2, 9)",Failed
17,0,0,1,1,2,7,"(2, 15)",Failed
18,0,1,2,2,0,7,"(2, 16)",Failed
19,0,1,0,0,1,3,"(2, 17)",Failed
20,0,0,1,0,1,6,"(2, 21)",Failed
21,0,0,3,0,1,5,"(2, 22)",Failed
22,0,1,3,0,1,5,"(2, 23)",Failed
23,0,0,3,1,0,5,"(2, 27)",Failed
24,0,0,2,1,1,8,"(2, 28)",Failed
25,0,0,1,1,1,3,"(2, 30)",Failed
26,0,1,6,1,0,4,"(4, 7)",Failed
27,0,0,3,0,0,3,"(4, 13)",Failed
28,0,1,4,0,0,5,"(4, 15)",Failed
29,0,0,2,1,0,3,"(4, 16)",Failed
30,0,1,5,2,1,3,"(4, 18)",Failed
31,0,0,1,0,1,2,"(4, 26)",Failed
32,0,0,2,0,0,2,"(4, 28)",Failed
33,0,0,0,0,1,5,"(4, 30)",Failed
34,0,1,4,2,0,3,"(5, 2)",Failed
35,0,0,3,0,0,3,"(5, 6)",Failed
36,0,2,4,0,0,3,"(5, 8)",Failed
37,0,2,4,1,0,4,"(5, 10)",Failed
38,0,1,3,0,0,5,"(5, 14)",Failed
39,0,0,4,1,0,4,"(5, 15)",Failed
40,0,0,4,2,0,1,"(5, 16)",Failed
41,0,0,3,2,0,4,"(5, 18)",Failed
42,0,0,3,0,0,5,"(5, 19)",Failed
43,0,0,3,0,0,4,"(5, 25)",Failed
44,0,0,1,0,1,4,"(5, 26)",Failed
45,0,0,3,0,1,4,"(5, 29)",Failed
46,1,2,2,3,1,4,"(6, 2)",Success
47,0,3,9,0,2,6,"(6, 3)",Failed
48,0,3,5,0,1,8,"(6, 5)",Failed
49,2,0,3,2,0,3,"(6, 9)",Success
50,0,0,5,3,1,5,"(6, 10)",Failed
51,0,1,5,0,0,6,"(6, 12)",Failed
52,0,1,0,0,1,3,"(6, 14)",Failed
53,1,1,1,2,0,2,"(6, 16)",Success
54,0,1,2,0,0,7,"(6, 18)",Failed
55,0,0,4,1,2,5,"(6, 20)",Failed
56,0,2,4,0,0,4,"(6, 21)",Failed
57,2,2,4,2,0,6,"(6, 23)",Failed
58,1,1,1,1,1,1,"(6, 30)",Success
59,0,0,0,0,0,5,"(8, 1)",Failed
60,0,0,0,0,1,5,"(8, 2)",Failed
61,2,1,3,4,0,5,"(8, 4)",Failed
62,3,1,6,2,1,9,"(8, 10)",Failed
63,0,1,3,0,1,6,"(8, 11)",Failed
64,0,1,4,3,0,2,"(8, 14)",Failed
65,0,0,3,2,0,6,"(8, 16)",Failed
66,0,0,3,1,0,5,"(8, 20)",Failed
67,0,0,2,0,0,2,"(8, 22)",Failed
68,0,0,0,0,0,4,"(8, 23)",Failed
69,1,1,5,3,0,2,"(8, 26)",Failed
70,0,0,3,0,0,3,"(8, 29)",Failed
71,0,0,0,4,1,7,"(9, 1)",Failed
72,0,0,0,0,0,4,"(9, 3)",Failed
73,0,0,1,0,0,4,"(9, 5)",Failed
74,0,0,1,0,0,3,"(9, 6)",Failed
75,0,0,0,0,0,4,"(9, 7)",Failed
76,0,0,1,0,0,4,"(9, 8)",Failed
77,0,0,1,0,0,5,"(9, 10)",Failed
78,0,0,2,0,0,4,"(9, 12)",Failed
79,0,0,0,0,0,4,"(9, 15)",Failed
80,0,0,2,0,0,2,"(9, 16)",Failed
81,0,0,0,0,0,2,"(9, 21)",Failed
82,0,0,1,0,0,8,"(9, 23)",Failed
83,0,0,0,0,2,1,"(9, 26)",Failed
84,0,0,0,0,0,2,"(9, 28)",Failed
85,0,0,0,0,0,3,"(9, 30)",Failed
86,0,0,0,1,1,3,"(10, 2)",Success
87,0,1,0,2,0,4,"(10, 3)",Failed
88,0,2,1,2,1,4,"(10, 6)",Failed
89,0,1,4,1,1,2,"(10, 11)",Failed
90,0,1,2,0,1,5,"(10, 15)",Failed
91,0,0,5,2,2,5,"(10, 16)",Failed
92,0,3,5,0,1,5,"(10, 17)",Failed
93,0,0,2,1,1,5,"(10, 18)",Failed
94,0,0,0,0,0,2,"(10, 23)",Failed
95,0,0,0,0,1,1,"(10, 26)",Failed
96,0,1,0,0,2,5,"(10, 28)",Failed
97,0,0,0,0,1,3,"(10, 29)",Failed
98,0,0,4,0,1,7,"(11, 3)",Failed
99,0,0,2,0,0,6,"(11, 4)",Failed
100,0,0,3,0,0,10,"(11, 7)",Failed
101,0,0,0,0,1,6,"(11, 9)",Failed
102,0,0,0,0,0,3,"(11, 12)",Failed
103,0,0,1,0,1,6,"(11, 15)",Failed
104,0,0,0,0,0,2,"(11, 17)",Failed
105,0,0,0,0,0,4,"(11, 20)",Failed
106,0,0,1,0,0,1,"(11, 21)",Failed
107,0,0,1,0,0,6,"(11, 22)",Failed
108,0,0,0,0,1,4,"(11, 25)",Failed
109,0,0,2,0,0,3,"(11, 27)",Failed
110,0,0,0,0,0,3,"(11, 30)",Failed
111,0,0,3,0,2,3,"(12, 1)",Failed
112,0,0,2,0,1,4,"(12, 2)",Failed
113,0,0,1,0,0,1,"(12, 5)",Failed
114,0,1,5,0,0,4,"(12, 7)",Failed
115,0,1,5,0,0,6,"(12, 9)",Failed
116,0,1,4,0,0,4,"(12, 10)",Failed
117,0,1,3,0,1,4,"(12, 11)",Failed
118,0,0,3,0,1,8,"(12, 17)",Failed
119,0,1,2,0,1,4,"(12, 18)",Failed
120,1,2,2,1,0,1,"(12, 20)",Success
121,0,1,2,0,0,2,"(12, 21)",Failed
122,0,1,3,0,1,4,"(12, 22)",Failed
123,0,0,0,0,0,2,"(12, 24)",Failed
124,0,2,2,0,0,4,"(12, 30)",Failed
