,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.276,0.188,10000.0,10000.0,"(1, 1)",Failed
1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.292,10000.0,10000.0,"(1, 4)",Failed
2,10000.0,0.332,10000.0,10000.0,0.348,10000.0,0.308,0.308,10000.0,0.068,10000.0,10000.0,"(1, 5)",Success
3,10000.0,0.58,0.492,0.492,0.548,10000.0,10000.0,10000.0,10000.0,0.004,10000.0,10000.0,"(1, 7)",Success
4,10000.0,10000.0,0.128,0.128,0.104,0.088,0.116,0.12,10000.0,0.144,0.092,10000.0,"(1, 9)",Success
5,10000.0,0.172,0.108,0.148,0.188,0.188,0.16,0.16,10000.0,0.0,0.172,0.176,"(1, 17)",Success
6,10000.0,10000.0,0.3,0.3,0.336,10000.0,10000.0,10000.0,10000.0,0.272,10000.0,10000.0,"(1, 19)",Success
7,10000.0,10000.0,0.332,0.332,10000.0,10000.0,10000.0,10000.0,0.108,0.056,10000.0,10000.0,"(1, 22)",Success
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.272,0.068,0.38,10000.0,"(2, 3)",Success
9,10000.0,0.62,10000.0,10000.0,0.488,0.624,0.6,0.604,10000.0,0.076,0.484,0.604,"(2, 4)",Success
10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,0.016,10000.0,10000.0,"(2, 7)",Success
11,10000.0,0.308,10000.0,10000.0,0.292,0.288,0.296,0.276,10000.0,0.14,0.316,10000.0,"(2, 8)",Success
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.2,0.072,0.7,10000.0,"(2, 11)",Failed
13,10000.0,0.544,0.508,0.504,10000.0,0.54,0.54,0.548,10000.0,0.24,0.44,10000.0,"(2, 27)",Success
14,10000.0,10000.0,10000.0,0.364,0.36,10000.0,10000.0,10000.0,0.108,0.0,0.244,10000.0,"(2, 28)",Success
15,10000.0,0.36,10000.0,0.308,0.34,10000.0,0.336,0.292,10000.0,0.184,0.296,10000.0,"(2, 29)",Success
16,10000.0,0.648,0.624,0.5,10000.0,0.612,0.588,0.588,10000.0,0.04,0.6,10000.0,"(3, 3)",Success
17,10000.0,0.404,10000.0,0.28,10000.0,10000.0,0.448,0.448,10000.0,0.0,10000.0,10000.0,"(3, 6)",Success
