,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,0.072,10000.0,10000.0,0.104,0.1,0.084,0.084,10000.0,0.0,10000.0,10000.0,"(1, 2)",Success
1,10000.0,0.104,0.068,0.072,0.112,0.112,0.104,0.1,10000.0,0.0,0.096,10000.0,"(1, 3)",Success
2,10000.0,0.68,0.68,0.676,0.696,0.692,0.672,0.676,10000.0,0.032,0.672,10000.0,"(1, 5)",Failed
3,10000.0,0.64,0.652,0.652,0.636,0.632,0.632,0.632,10000.0,0.148,0.64,0.656,"(1, 6)",Success
4,10000.0,0.692,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.292,0.208,0.488,0.628,"(1, 8)",Failed
5,10000.0,0.24,10000.0,0.248,10000.0,10000.0,0.216,0.212,10000.0,0.132,0.244,10000.0,"(1, 10)",Success
6,10000.0,0.24,10000.0,0.192,10000.0,10000.0,0.228,0.232,10000.0,0.016,0.252,10000.0,"(1, 12)",Success
7,10000.0,0.436,0.444,0.328,10000.0,10000.0,0.448,0.428,10000.0,0.064,10000.0,10000.0,"(1, 16)",Success
8,10000.0,0.248,10000.0,0.264,10000.0,10000.0,0.288,0.292,10000.0,0.096,0.308,10000.0,"(1, 18)",Success
9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.316,0.32,10000.0,0.028,10000.0,10000.0,"(1, 19)",Success
10,0.248,0.244,10000.0,0.192,0.264,0.26,0.236,0.236,10000.0,0.208,0.24,10000.0,"(1, 20)",Success
11,10000.0,0.164,0.18,10000.0,0.188,0.192,0.16,0.136,10000.0,0.0,0.168,10000.0,"(1, 25)",Success
12,10000.0,0.376,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.068,10000.0,10000.0,"(1, 28)",Success
13,10000.0,0.164,0.204,10000.0,0.216,0.22,0.208,0.228,10000.0,0.18,0.224,10000.0,"(2, 3)",Success
14,10000.0,0.62,0.68,10000.0,0.544,10000.0,0.64,0.64,0.532,0.048,0.672,10000.0,"(2, 5)",Failed
15,10000.0,0.26,0.276,0.288,0.272,0.276,0.216,0.212,10000.0,0.192,0.272,0.304,"(2, 9)",Success
16,10000.0,10000.0,10000.0,10000.0,0.652,0.672,10000.0,10000.0,0.096,0.012,10000.0,10000.0,"(2, 22)",Failed
17,10000.0,10000.0,10000.0,10000.0,0.412,0.676,10000.0,10000.0,10000.0,0.672,0.684,10000.0,"(2, 23)",Failed
18,0.556,0.384,0.468,10000.0,0.308,0.364,0.512,0.52,10000.0,0.296,0.404,10000.0,"(2, 25)",Success
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.692,0.696,0.072,0.66,0.356,10000.0,"(2, 26)",Failed
