,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,2,1,1,0,0,"(1, 2)",Success
1,1,1,1,1,0,0,"(1, 3)",Success
2,1,1,2,1,0,2,"(1, 5)",Failed
3,1,2,1,2,0,3,"(1, 6)",Success
4,3,2,4,2,0,4,"(1, 8)",Failed
5,1,1,1,1,0,1,"(1, 10)",Success
6,2,2,1,1,0,1,"(1, 12)",Success
7,3,2,2,3,0,3,"(1, 16)",Success
8,1,1,0,2,0,2,"(1, 18)",Success
9,4,1,2,2,0,3,"(1, 19)",Success
10,2,2,2,2,0,1,"(1, 20)",Success
11,2,2,1,1,0,1,"(1, 25)",Success
12,3,3,2,3,0,4,"(1, 28)",Success
13,2,1,3,1,0,3,"(2, 3)",Success
14,4,3,7,5,2,9,"(2, 5)",Failed
15,3,1,2,1,0,5,"(2, 9)",Success
16,3,1,6,1,5,6,"(2, 22)",Failed
17,0,0,2,2,0,4,"(2, 23)",Failed
18,4,2,4,5,0,8,"(2, 25)",Success
19,2,1,7,3,3,8,"(2, 26)",Failed
20,4,2,3,3,1,6,"(2, 29)",Failed
21,2,2,3,5,1,2,"(3, 3)",Success
22,3,2,1,4,1,4,"(3, 4)",Success
23,1,1,3,2,0,2,"(3, 8)",Success
24,2,3,3,1,0,3,"(3, 10)",Success
25,1,2,1,3,0,3,"(3, 13)",Success
26,1,2,4,4,0,4,"(3, 14)",Success
27,3,2,1,3,1,1,"(3, 20)",Failed
28,4,1,5,6,0,8,"(3, 25)",Failed
29,2,3,3,4,0,4,"(3, 27)",Success
30,1,0,0,1,0,0,"(4, 2)",Success
31,1,1,0,1,0,1,"(4, 3)",Success
32,2,4,4,4,0,2,"(4, 8)",Success
33,0,1,1,1,0,2,"(4, 9)",Success
34,1,1,4,4,0,4,"(4, 14)",Success
35,1,1,2,1,0,3,"(4, 16)",Success
36,4,4,3,1,0,2,"(4, 26)",Success
37,0,1,1,1,0,1,"(4, 27)",Success
38,1,3,3,3,1,4,"(7, 5)",Failed
39,2,3,1,2,1,2,"(7, 10)",Success
40,1,1,1,2,0,0,"(7, 11)",Success
41,1,0,1,1,0,0,"(7, 14)",Success
42,2,2,1,2,0,2,"(7, 17)",Success
43,2,3,2,1,1,5,"(7, 18)",Success
44,3,3,4,2,0,4,"(7, 19)",Success
45,3,2,0,2,0,1,"(7, 20)",Success
46,3,2,2,3,1,2,"(7, 21)",Success
47,0,1,1,1,0,4,"(7, 22)",Failed
48,1,2,0,2,0,0,"(7, 26)",Success
49,2,3,3,2,2,3,"(7, 28)",Success
50,0,1,6,2,0,2,"(7, 29)",Failed
51,1,0,6,1,1,3,"(9, 1)",Failed
52,1,2,1,1,0,0,"(9, 2)",Success
53,2,1,3,2,0,2,"(9, 3)",Failed
54,2,2,1,3,1,3,"(9, 4)",Success
55,4,2,1,2,2,2,"(9, 7)",Failed
56,2,2,6,2,2,7,"(9, 8)",Failed
57,1,1,1,2,0,3,"(9, 13)",Success
58,0,1,1,3,1,4,"(9, 17)",Failed
59,0,0,2,1,0,7,"(9, 20)",Failed
60,1,2,2,3,0,5,"(9, 23)",Failed
61,2,2,0,3,0,1,"(9, 28)",Success
62,0,1,4,3,0,2,"(10, 1)",Failed
63,1,3,4,1,0,2,"(10, 3)",Success
64,1,0,2,3,0,4,"(10, 7)",Failed
65,0,1,6,0,0,5,"(10, 10)",Failed
66,0,0,2,0,0,5,"(10, 14)",Failed
67,1,1,7,1,0,4,"(10, 15)",Failed
68,0,0,3,0,0,6,"(10, 19)",Failed
69,0,1,3,6,1,4,"(10, 24)",Failed
70,0,0,4,0,0,3,"(10, 26)",Failed
71,1,2,2,2,2,3,"(10, 29)",Success
72,1,2,1,3,0,3,"(12, 3)",Success
73,1,2,1,1,1,1,"(12, 8)",Success
