,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,0.088,0.076,10000.0,0.08,10000.0,0.096,0.096,10000.0,0.0,0.068,10000.0,"(1, 1)",Success
1,10000.0,0.488,10000.0,0.452,0.496,10000.0,0.508,0.508,10000.0,10000.0,0.484,10000.0,"(1, 4)",Success
2,10000.0,10000.0,0.252,0.276,10000.0,10000.0,10000.0,10000.0,10000.0,0.096,10000.0,10000.0,"(1, 7)",Success
3,10000.0,0.272,0.252,0.236,10000.0,10000.0,0.284,10000.0,10000.0,0.196,0.204,10000.0,"(1, 9)",Success
4,0.44,0.424,10000.0,0.416,10000.0,10000.0,10000.0,10000.0,10000.0,0.208,10000.0,10000.0,"(1, 11)",Success
5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.216,0.216,0.376,"(1, 13)",Failed
6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.028,0.12,0.18,"(1, 14)",Failed
7,10000.0,0.248,10000.0,0.184,10000.0,10000.0,0.264,0.268,10000.0,0.016,0.236,10000.0,"(1, 17)",Success
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.356,0.108,10000.0,10000.0,"(1, 21)",Failed
9,10000.0,10000.0,10000.0,10000.0,0.664,10000.0,10000.0,10000.0,0.196,0.104,0.296,10000.0,"(1, 22)",Failed
10,10000.0,0.36,10000.0,0.284,10000.0,10000.0,0.348,10000.0,10000.0,0.12,0.112,0.316,"(1, 23)",Success
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.328,0.0,10000.0,10000.0,"(1, 24)",Failed
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,0.404,10000.0,"(1, 27)",Failed
13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(1, 29)",Failed
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.38,0.008,0.128,10000.0,"(1, 30)",Failed
15,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.288,0.576,0.04,10000.0,10000.0,"(2, 1)",Failed
16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.352,10000.0,0.652,10000.0,10000.0,"(2, 2)",Failed
17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.272,10000.0,0.456,10000.0,10000.0,"(2, 4)",Failed
18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.612,10000.0,0.076,10000.0,10000.0,"(2, 6)",Failed
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.176,0.06,0.044,10000.0,10000.0,"(2, 7)",Failed
20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.06,0.084,0.084,10000.0,10000.0,"(2, 8)",Failed
21,0.144,0.176,10000.0,0.308,10000.0,10000.0,10000.0,10000.0,0.0,0.0,10000.0,10000.0,"(2, 10)",Success
22,10000.0,0.172,0.24,10000.0,10000.0,10000.0,0.208,0.212,10000.0,0.084,0.292,10000.0,"(2, 18)",Success
23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.576,0.276,10000.0,10000.0,"(2, 19)",Failed
24,10000.0,0.432,0.452,0.46,0.504,10000.0,0.432,0.432,0.456,0.34,0.476,0.484,"(2, 24)",Success
25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.692,0.488,10000.0,10000.0,"(2, 27)",Failed
26,0.448,0.304,10000.0,0.376,0.368,0.372,0.38,0.38,10000.0,0.236,10000.0,10000.0,"(2, 28)",Success
27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.24,10000.0,10000.0,"(2, 30)",Failed
28,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(3, 1)",Failed
29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.344,0.344,10000.0,10000.0,"(3, 2)",Failed
30,10000.0,0.472,0.46,0.464,0.488,10000.0,0.424,0.276,10000.0,0.228,10000.0,10000.0,"(3, 7)",Success
31,0.276,10000.0,0.216,0.232,10000.0,10000.0,0.256,0.26,10000.0,0.228,0.3,10000.0,"(3, 9)",Success
32,10000.0,0.388,0.352,0.348,10000.0,10000.0,0.324,0.328,10000.0,0.144,10000.0,10000.0,"(3, 11)",Success
33,10000.0,0.636,0.632,0.636,0.68,10000.0,0.58,0.596,10000.0,0.092,10000.0,10000.0,"(3, 12)",Success
34,10000.0,0.38,0.356,0.356,10000.0,10000.0,0.364,0.368,10000.0,0.032,0.388,10000.0,"(3, 16)",Success
35,10000.0,10000.0,0.536,0.524,0.652,0.656,0.704,10000.0,10000.0,0.152,10000.0,0.668,"(3, 17)",Failed
36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.024,10000.0,10000.0,"(3, 18)",Failed
37,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.08,10000.0,10000.0,"(3, 19)",Failed
38,10000.0,0.544,0.52,10000.0,0.552,10000.0,0.5,0.496,10000.0,0.572,0.536,10000.0,"(3, 21)",Success
39,10000.0,0.392,0.364,0.368,0.392,0.396,0.364,0.364,10000.0,0.0,0.372,10000.0,"(3, 22)",Success
40,10000.0,0.22,0.208,0.212,10000.0,10000.0,0.176,0.176,10000.0,0.152,10000.0,10000.0,"(3, 26)",Success
41,10000.0,0.672,0.656,0.652,0.688,10000.0,0.644,0.648,10000.0,0.3,0.684,10000.0,"(3, 30)",Success
42,10000.0,0.472,0.424,10000.0,0.44,0.44,0.424,0.42,0.268,0.028,0.456,10000.0,"(4, 1)",Success
43,10000.0,0.084,0.064,10000.0,0.092,10000.0,0.072,0.084,10000.0,10000.0,0.072,0.092,"(4, 4)",Success
44,10000.0,0.204,0.204,10000.0,0.22,0.212,0.216,0.184,10000.0,10000.0,0.196,10000.0,"(4, 6)",Success
45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.016,10000.0,10000.0,"(4, 11)",Success
46,10000.0,10000.0,10000.0,0.096,0.136,0.14,0.12,0.128,10000.0,0.0,10000.0,10000.0,"(4, 12)",Success
47,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.256,0.0,0.444,10000.0,"(4, 13)",Failed
48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(4, 17)",Failed
49,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.548,10000.0,0.0,0.68,10000.0,"(4, 18)",Failed
50,10000.0,0.1,10000.0,10000.0,0.116,0.116,10000.0,10000.0,10000.0,0.064,10000.0,10000.0,"(4, 19)",Success
51,10000.0,10000.0,0.072,10000.0,10000.0,10000.0,10000.0,0.076,10000.0,0.0,0.08,10000.0,"(4, 30)",Success
52,10000.0,10000.0,0.536,0.504,0.532,0.544,0.524,10000.0,10000.0,0.0,0.504,10000.0,"(7, 1)",Success
53,10000.0,0.2,0.176,0.188,0.204,10000.0,0.172,0.176,10000.0,0.172,0.172,10000.0,"(7, 2)",Success
54,10000.0,0.268,0.232,10000.0,10000.0,10000.0,0.232,0.236,10000.0,0.096,0.204,10000.0,"(7, 6)",Success
