,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,0,1,1,0,1,"(1, 1)",Success
1,1,0,3,2,0,3,"(1, 4)",Success
2,2,0,1,2,0,1,"(1, 7)",Success
3,2,1,2,1,0,1,"(1, 9)",Success
4,2,2,3,5,1,2,"(1, 11)",Success
5,3,1,4,0,0,6,"(1, 13)",Failed
6,1,1,4,0,0,9,"(1, 14)",Failed
7,2,1,1,3,0,1,"(1, 17)",Success
8,0,1,4,0,0,6,"(1, 21)",Failed
9,0,0,3,0,0,7,"(1, 22)",Failed
10,3,2,2,1,0,3,"(1, 23)",Success
11,1,0,1,0,0,3,"(1, 24)",Failed
12,1,1,5,0,0,5,"(1, 27)",Failed
13,5,2,3,0,0,7,"(1, 29)",Failed
14,4,3,2,0,0,7,"(1, 30)",Failed
15,1,1,2,1,0,9,"(2, 1)",Failed
16,0,2,5,0,0,12,"(2, 2)",Failed
17,0,0,3,0,0,7,"(2, 4)",Failed
18,0,0,0,0,0,2,"(2, 6)",Failed
19,0,2,6,0,0,5,"(2, 7)",Failed
20,0,0,4,0,0,8,"(2, 8)",Failed
21,0,2,3,4,1,5,"(2, 10)",Success
22,2,1,2,1,2,3,"(2, 18)",Success
23,3,0,2,4,2,11,"(2, 19)",Failed
24,3,1,3,2,1,5,"(2, 24)",Success
25,2,2,2,4,1,5,"(2, 27)",Failed
26,2,2,3,1,1,3,"(2, 28)",Success
27,0,0,0,0,1,6,"(2, 30)",Failed
28,0,0,0,0,0,5,"(3, 1)",Failed
29,0,0,1,0,0,7,"(3, 2)",Failed
30,1,1,1,2,0,2,"(3, 7)",Success
31,1,2,1,2,0,2,"(3, 9)",Success
32,2,3,2,3,2,5,"(3, 11)",Success
33,2,5,4,3,0,6,"(3, 12)",Success
34,3,3,1,2,0,5,"(3, 16)",Success
35,1,3,2,1,0,5,"(3, 17)",Failed
36,0,1,2,0,0,2,"(3, 18)",Failed
37,1,2,3,0,0,1,"(3, 19)",Failed
38,2,2,6,4,0,4,"(3, 21)",Success
39,1,2,3,1,1,0,"(3, 22)",Success
40,1,1,2,1,0,3,"(3, 26)",Success
41,1,2,3,3,0,4,"(3, 30)",Success
42,2,4,2,1,1,2,"(4, 1)",Success
43,1,1,1,1,0,1,"(4, 4)",Success
44,2,2,1,1,0,1,"(4, 6)",Success
45,1,2,5,5,0,4,"(4, 11)",Success
46,1,1,1,1,0,1,"(4, 12)",Success
47,0,1,4,1,0,6,"(4, 13)",Failed
48,1,1,3,0,0,5,"(4, 17)",Failed
49,1,2,7,1,0,5,"(4, 18)",Failed
50,1,2,2,2,0,1,"(4, 19)",Success
51,2,1,0,1,0,1,"(4, 30)",Success
52,0,2,3,2,0,6,"(7, 1)",Success
53,1,1,2,1,0,2,"(7, 2)",Success
54,1,1,1,1,2,2,"(7, 6)",Success
55,1,1,0,1,0,4,"(7, 7)",Success
56,1,1,1,2,0,4,"(7, 8)",Success
57,1,1,2,2,1,2,"(7, 9)",Success
58,1,2,1,1,0,3,"(7, 12)",Success
59,1,2,0,1,0,0,"(7, 13)",Success
60,1,1,2,1,0,2,"(7, 15)",Success
61,2,5,4,2,0,3,"(7, 16)",Success
62,3,2,2,1,2,3,"(7, 23)",Success
63,1,2,2,3,1,2,"(7, 24)",Success
64,3,2,1,4,0,3,"(7, 25)",Success
65,0,0,1,1,0,3,"(7, 27)",Failed
66,1,1,1,2,0,1,"(7, 30)",Success
67,0,0,2,0,1,4,"(9, 5)",Failed
68,1,1,1,1,0,4,"(9, 6)",Success
69,2,1,3,2,1,2,"(9, 15)",Success
70,1,1,4,2,0,5,"(9, 24)",Failed
71,0,0,1,0,0,6,"(9, 25)",Failed
72,0,0,0,0,0,8,"(9, 26)",Failed
