,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,0.228,10000.0,0.204,0.196,0.2,10000.0,10000.0,10000.0,0.0,0.192,10000.0,"(1, 5)",Success
1,10000.0,0.184,0.18,0.22,0.176,10000.0,10000.0,10000.0,10000.0,0.052,0.16,10000.0,"(1, 7)",Success
2,10000.0,0.7,0.6,0.604,0.624,0.632,10000.0,10000.0,0.648,0.0,10000.0,10000.0,"(1, 8)",Failed
3,10000.0,10000.0,0.368,0.368,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.364,10000.0,"(1, 9)",Success
4,10000.0,10000.0,0.292,0.188,0.248,0.248,10000.0,10000.0,10000.0,0.0,0.236,0.264,"(1, 13)",Success
5,10000.0,0.388,10000.0,0.36,0.34,0.34,10000.0,10000.0,10000.0,0.0,0.36,10000.0,"(1, 14)",Success
6,10000.0,10000.0,0.132,0.14,0.144,0.144,10000.0,10000.0,10000.0,0.044,0.132,10000.0,"(1, 16)",Success
7,10000.0,10000.0,10000.0,10000.0,0.428,10000.0,10000.0,10000.0,10000.0,0.004,0.448,10000.0,"(1, 18)",Success
8,10000.0,10000.0,10000.0,0.448,0.496,0.5,0.46,0.452,10000.0,0.036,0.48,10000.0,"(1, 20)",Success
9,10000.0,10000.0,10000.0,10000.0,0.648,0.66,10000.0,10000.0,10000.0,0.0,0.636,10000.0,"(1, 21)",Failed
10,10000.0,10000.0,10000.0,0.512,0.572,10000.0,10000.0,10000.0,10000.0,0.032,10000.0,10000.0,"(1, 22)",Success
11,10000.0,0.504,10000.0,0.456,0.496,0.504,10000.0,10000.0,10000.0,0.036,10000.0,10000.0,"(1, 23)",Success
12,10000.0,10000.0,10000.0,0.368,0.424,0.424,10000.0,10000.0,10000.0,0.024,0.412,10000.0,"(1, 24)",Success
13,10000.0,10000.0,10000.0,0.448,0.488,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(1, 29)",Success
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(2, 1)",Failed
15,10000.0,0.188,10000.0,10000.0,0.184,0.196,10000.0,10000.0,10000.0,0.0,0.172,10000.0,"(2, 2)",Success
16,10000.0,0.24,10000.0,10000.0,0.232,0.224,10000.0,10000.0,10000.0,0.0,0.204,10000.0,"(2, 3)",Success
17,10000.0,10000.0,0.164,0.164,0.184,10000.0,10000.0,10000.0,10000.0,0.0,0.168,10000.0,"(2, 5)",Success
18,10000.0,0.32,0.3,0.304,0.324,10000.0,10000.0,10000.0,10000.0,0.308,0.288,10000.0,"(2, 6)",Success
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.216,10000.0,"(2, 9)",Success
20,10000.0,0.412,10000.0,0.248,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.268,10000.0,"(2, 10)",Success
21,10000.0,0.548,10000.0,0.54,0.524,0.524,10000.0,10000.0,10000.0,0.02,0.464,10000.0,"(2, 12)",Success
22,10000.0,10000.0,0.524,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,10000.0,10000.0,"(2, 14)",Success
23,10000.0,10000.0,10000.0,0.416,0.444,0.448,10000.0,10000.0,10000.0,0.168,0.396,10000.0,"(2, 15)",Success
24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(2, 16)",Failed
25,10000.0,0.412,0.42,10000.0,0.404,0.444,10000.0,0.44,10000.0,0.0,0.392,10000.0,"(2, 17)",Success
