,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,1,1,2,0,0,"(1, 5)",Success
1,1,1,1,2,0,1,"(1, 7)",Success
2,3,1,3,5,0,6,"(1, 8)",Failed
3,2,1,1,1,0,1,"(1, 9)",Success
4,1,2,2,3,0,1,"(1, 13)",Success
5,1,1,1,1,0,2,"(1, 14)",Success
6,1,1,0,2,0,0,"(1, 16)",Success
7,2,1,2,2,0,3,"(1, 18)",Success
8,2,1,1,2,1,2,"(1, 20)",Success
9,0,1,0,0,0,4,"(1, 21)",Failed
10,1,1,0,2,0,3,"(1, 22)",Success
11,1,1,1,2,0,2,"(1, 23)",Success
12,1,1,0,3,0,1,"(1, 24)",Success
13,1,1,0,2,0,1,"(1, 29)",Success
14,1,1,1,3,1,5,"(2, 1)",Failed
15,1,1,1,2,1,1,"(2, 2)",Success
16,1,1,1,4,1,1,"(2, 3)",Success
17,1,0,1,2,0,1,"(2, 5)",Success
18,1,0,1,2,0,0,"(2, 6)",Success
19,1,1,2,1,1,2,"(2, 9)",Success
20,1,3,1,4,0,1,"(2, 10)",Success
21,1,2,2,2,0,3,"(2, 12)",Success
22,1,1,1,2,0,2,"(2, 14)",Success
23,2,1,2,2,0,3,"(2, 15)",Success
24,0,1,4,1,0,3,"(2, 16)",Failed
25,2,3,1,3,0,1,"(2, 17)",Success
26,0,1,2,2,1,7,"(2, 24)",Failed
27,2,1,1,2,0,0,"(2, 26)",Success
28,1,1,3,2,0,3,"(3, 1)",Failed
29,1,1,1,2,0,2,"(3, 6)",Success
30,1,1,2,1,0,3,"(3, 7)",Success
31,1,2,3,1,1,5,"(3, 10)",Failed
32,0,0,0,0,1,5,"(3, 13)",Failed
33,2,1,4,2,0,7,"(3, 14)",Failed
34,0,0,3,0,1,3,"(3, 18)",Failed
35,1,1,7,1,0,3,"(3, 19)",Failed
36,2,1,2,1,0,4,"(3, 20)",Failed
37,0,2,7,0,0,5,"(3, 21)",Failed
38,0,1,4,3,3,5,"(3, 23)",Failed
39,0,1,1,2,1,2,"(3, 24)",Success
40,0,1,1,1,0,4,"(3, 25)",Failed
41,2,1,1,3,0,1,"(3, 26)",Success
42,1,0,1,1,0,1,"(4, 5)",Success
43,1,1,1,1,0,0,"(4, 6)",Success
44,2,2,1,2,2,1,"(4, 12)",Success
45,2,1,2,3,0,1,"(4, 13)",Success
46,1,2,0,2,0,1,"(4, 14)",Success
47,2,0,1,1,0,0,"(4, 15)",Success
48,1,1,1,2,0,1,"(4, 17)",Success
49,4,3,1,2,1,1,"(4, 18)",Success
50,1,1,0,2,0,0,"(4, 21)",Success
51,1,1,3,0,0,4,"(4, 22)",Failed
52,1,3,2,4,0,1,"(4, 23)",Success
53,1,1,0,1,0,1,"(4, 24)",Success
54,2,1,1,2,0,0,"(4, 25)",Success
55,2,1,0,2,0,0,"(4, 28)",Success
56,2,2,1,4,3,2,"(5, 3)",Success
57,1,2,5,2,0,6,"(5, 6)",Failed
58,3,2,3,5,2,6,"(5, 8)",Failed
59,1,2,4,1,2,7,"(5, 9)",Failed
60,2,2,5,0,0,6,"(5, 11)",Failed
61,1,2,4,3,0,3,"(5, 12)",Failed
62,1,2,5,3,1,7,"(5, 14)",Failed
63,0,1,4,0,0,6,"(5, 17)",Failed
64,0,0,2,0,0,2,"(5, 18)",Failed
65,0,2,7,2,0,7,"(5, 19)",Failed
66,1,3,5,3,3,7,"(5, 23)",Success
67,0,0,1,0,0,3,"(5, 25)",Failed
68,0,0,3,0,0,1,"(5, 26)",Failed
69,0,2,2,1,0,2,"(6, 1)",Failed
70,1,1,2,2,0,1,"(6, 6)",Success
71,1,1,2,2,0,1,"(6, 8)",Success
72,1,1,0,2,0,1,"(6, 9)",Success
73,2,2,1,3,0,1,"(6, 11)",Success
74,1,2,1,4,0,2,"(6, 13)",Success
75,2,1,0,4,3,5,"(6, 14)",Failed
76,0,1,1,0,0,0,"(6, 18)",Failed
77,1,1,0,2,0,1,"(6, 19)",Success
78,1,1,0,2,0,1,"(6, 22)",Success
79,0,2,1,3,0,2,"(6, 24)",Success
80,0,1,1,1,1,1,"(6, 26)",Failed
81,1,1,0,2,0,1,"(6, 29)",Success
82,1,1,0,2,0,2,"(7, 1)",Success
83,1,1,0,2,0,0,"(7, 3)",Success
84,1,1,1,3,1,0,"(7, 5)",Success
85,1,1,1,2,0,1,"(7, 7)",Success
86,1,1,2,2,1,2,"(7, 9)",Success
87,1,1,0,1,0,1,"(7, 10)",Success
88,1,1,0,2,0,1,"(7, 12)",Success
89,1,1,0,1,1,1,"(7, 13)",Success
90,1,1,0,2,0,2,"(7, 17)",Success
91,2,1,1,2,0,1,"(7, 20)",Success
92,2,2,1,4,1,5,"(7, 21)",Success
