,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.292,0.124,10000.0,10000.0,"(1, 1)",Failed
1,10000.0,0.66,0.68,0.7,0.552,0.532,0.644,0.448,0.308,0.292,0.52,10000.0,"(1, 2)",Failed
2,10000.0,10000.0,10000.0,10000.0,0.52,10000.0,10000.0,10000.0,0.332,0.124,10000.0,10000.0,"(1, 4)",Success
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.532,0.4,0.696,10000.0,"(1, 6)",Failed
4,0.66,0.612,0.66,10000.0,0.512,0.556,0.632,0.604,0.268,0.192,10000.0,10000.0,"(1, 10)",Failed
5,10000.0,0.56,10000.0,10000.0,0.544,0.552,0.58,0.556,0.124,0.12,0.492,10000.0,"(1, 11)",Failed
6,10000.0,0.58,10000.0,10000.0,0.636,0.648,0.66,0.64,0.544,0.312,0.544,10000.0,"(1, 12)",Failed
7,10000.0,10000.0,10000.0,0.14,10000.0,10000.0,10000.0,10000.0,0.208,0.012,10000.0,10000.0,"(1, 15)",Success
8,10000.0,0.524,10000.0,0.332,10000.0,10000.0,10000.0,0.464,0.568,0.0,10000.0,10000.0,"(1, 17)",Failed
9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.196,10000.0,10000.0,"(1, 19)",Failed
10,10000.0,10000.0,10000.0,0.492,10000.0,10000.0,10000.0,0.472,0.304,0.0,10000.0,10000.0,"(1, 25)",Failed
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.404,0.652,0.192,0.62,10000.0,"(1, 26)",Failed
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.22,10000.0,10000.0,"(1, 27)",Failed
13,10000.0,0.368,0.664,0.56,0.648,0.68,0.496,0.356,0.3,0.04,0.296,10000.0,"(1, 28)",Failed
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.544,0.116,10000.0,10000.0,"(1, 30)",Failed
15,10000.0,10000.0,10000.0,0.264,0.604,10000.0,10000.0,10000.0,0.38,0.136,10000.0,10000.0,"(2, 7)",Failed
