,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,1,2,1,0,4,"(1, 1)",Failed
1,1,1,2,1,0,4,"(1, 2)",Failed
2,0,1,2,0,0,3,"(1, 4)",Success
3,0,0,0,0,0,1,"(1, 6)",Failed
4,1,1,3,2,0,4,"(1, 10)",Failed
5,0,1,4,0,1,5,"(1, 11)",Failed
6,0,1,2,1,0,2,"(1, 12)",Failed
7,1,1,2,1,0,6,"(1, 15)",Success
8,2,1,5,0,0,6,"(1, 17)",Failed
9,0,0,0,0,0,0,"(1, 19)",Failed
10,1,1,2,0,0,3,"(1, 25)",Failed
11,0,1,2,0,0,4,"(1, 26)",Failed
12,0,0,1,0,0,1,"(1, 27)",Failed
13,0,2,2,1,1,5,"(1, 28)",Failed
14,0,2,3,1,0,4,"(1, 30)",Failed
15,0,2,3,1,0,4,"(2, 7)",Failed
16,0,2,3,0,0,5,"(2, 8)",Failed
17,0,1,2,1,0,5,"(2, 11)",Failed
18,0,1,3,1,0,4,"(2, 13)",Success
19,1,1,3,4,3,4,"(2, 18)",Failed
20,1,2,1,2,0,1,"(2, 19)",Success
21,0,0,0,0,0,0,"(2, 20)",Failed
22,1,2,5,0,0,3,"(2, 25)",Failed
23,1,2,3,1,1,6,"(3, 3)",Failed
24,1,3,5,1,1,5,"(3, 4)",Failed
25,1,3,5,0,2,6,"(3, 5)",Failed
26,1,2,7,0,0,7,"(3, 8)",Failed
27,1,1,4,0,0,4,"(3, 11)",Failed
28,0,2,5,2,3,5,"(3, 12)",Failed
29,1,1,4,0,0,5,"(3, 15)",Success
30,2,2,2,2,2,2,"(3, 17)",Success
31,1,0,2,1,1,4,"(3, 22)",Success
32,1,1,3,0,0,6,"(3, 28)",Failed
33,0,2,4,2,0,3,"(3, 29)",Failed
34,0,2,5,0,2,6,"(3, 30)",Failed
35,1,1,3,2,1,3,"(4, 1)",Failed
36,1,3,2,2,3,4,"(4, 3)",Success
37,0,1,1,1,0,3,"(4, 4)",Success
38,3,3,2,3,2,5,"(4, 9)",Success
39,1,2,5,1,0,1,"(4, 11)",Success
40,1,2,4,5,1,3,"(4, 16)",Success
41,1,2,4,1,0,3,"(4, 19)",Failed
42,2,1,2,2,0,0,"(4, 20)",Success
43,5,2,4,3,0,3,"(4, 26)",Failed
44,0,1,2,0,0,3,"(4, 27)",Failed
45,4,3,3,2,1,1,"(4, 29)",Success
46,1,4,3,2,1,5,"(4, 30)",Success
47,1,1,5,0,0,2,"(5, 1)",Failed
48,0,1,7,2,1,6,"(5, 2)",Failed
49,1,2,1,2,1,2,"(5, 4)",Success
50,2,1,4,0,0,8,"(5, 5)",Failed
51,0,2,3,0,1,10,"(5, 7)",Failed
52,0,4,4,0,0,4,"(5, 10)",Failed
53,0,3,4,1,2,8,"(5, 13)",Failed
54,0,2,5,1,0,5,"(5, 16)",Failed
55,0,3,3,0,0,10,"(5, 20)",Failed
56,0,0,1,0,0,1,"(5, 22)",Failed
57,0,0,2,1,4,2,"(5, 24)",Failed
58,3,2,6,1,3,7,"(5, 27)",Failed
59,0,3,4,3,1,7,"(5, 28)",Success
60,0,3,4,0,0,7,"(5, 29)",Failed
61,0,3,4,0,5,4,"(5, 30)",Failed
62,1,1,2,1,0,3,"(6, 2)",Success
63,1,1,1,0,1,1,"(6, 3)",Success
64,0,2,1,1,1,3,"(6, 5)",Success
65,1,2,1,1,0,2,"(6, 7)",Success
66,1,1,2,1,0,2,"(6, 10)",Success
67,1,1,1,0,1,2,"(6, 12)",Success
68,0,2,2,1,3,3,"(6, 15)",Success
69,0,2,2,0,1,3,"(6, 20)",Success
70,0,0,0,0,0,1,"(6, 23)",Failed
71,1,1,1,1,0,2,"(6, 25)",Success
72,0,1,2,0,0,2,"(6, 27)",Success
73,0,0,2,0,0,3,"(6, 28)",Failed
74,0,1,1,1,0,1,"(6, 30)",Success
75,0,2,4,1,1,2,"(7, 2)",Success
76,1,1,1,1,1,3,"(7, 4)",Success
77,1,1,0,1,0,2,"(7, 6)",Success
78,2,2,1,2,0,1,"(7, 11)",Success
79,1,2,5,1,1,4,"(7, 14)",Success
80,1,3,3,2,0,4,"(7, 15)",Success
81,0,2,2,1,0,4,"(7, 16)",Success
82,0,1,2,1,1,4,"(7, 18)",Failed
83,1,1,1,2,0,2,"(7, 19)",Success
84,1,3,4,0,0,4,"(7, 25)",Success
85,1,0,1,1,1,3,"(7, 26)",Success
86,1,1,1,3,0,0,"(7, 27)",Success
87,1,1,1,2,0,3,"(7, 28)",Success
88,1,1,0,2,0,0,"(7, 29)",Success
89,1,3,3,2,0,4,"(7, 30)",Success
90,2,2,2,1,1,4,"(8, 5)",Success
91,1,1,2,0,0,4,"(8, 9)",Success
92,1,1,1,1,0,2,"(8, 10)",Failed
93,2,2,2,1,2,4,"(8, 13)",Success
94,2,2,2,1,1,2,"(8, 14)",Success
95,1,1,1,1,2,1,"(8, 15)",Success
96,2,3,2,2,1,3,"(8, 16)",Success
97,2,1,5,2,0,6,"(8, 19)",Failed
98,2,2,2,1,0,3,"(8, 20)",Success
99,2,1,2,1,1,2,"(8, 22)",Success
100,1,1,0,1,1,0,"(8, 23)",Success
101,1,1,2,1,1,2,"(8, 24)",Success
102,2,1,2,2,0,0,"(8, 26)",Success
103,0,1,2,0,0,3,"(8, 27)",Failed
104,0,4,3,1,0,4,"(8, 30)",Success
105,0,1,5,2,4,7,"(9, 5)",Success
106,0,2,2,0,1,3,"(9, 6)",Success
107,1,2,2,0,0,4,"(9, 12)",Failed
108,0,4,7,2,4,7,"(9, 14)",Failed
109,0,1,6,0,0,9,"(9, 15)",Failed
110,0,2,6,0,4,3,"(9, 19)",Failed
111,0,1,5,0,0,6,"(9, 22)",Failed
112,0,1,2,0,1,3,"(9, 23)",Failed
113,0,3,4,0,1,3,"(9, 25)",Success
114,0,2,4,1,1,1,"(9, 26)",Success
115,0,2,2,0,1,4,"(9, 27)",Success
116,1,3,3,1,3,5,"(9, 28)",Failed
117,0,2,3,3,4,3,"(9, 30)",Success
118,0,0,4,1,1,3,"(10, 1)",Success
119,1,0,2,0,2,2,"(10, 8)",Success
120,1,2,3,2,0,1,"(10, 9)",Success
121,1,1,1,0,1,0,"(10, 14)",Success
122,0,1,1,0,0,2,"(10, 18)",Success
123,0,0,1,0,0,3,"(10, 19)",Failed
124,0,1,2,3,1,4,"(10, 20)",Success
125,0,1,2,1,0,0,"(10, 23)",Success
126,0,2,1,0,1,2,"(10, 25)",Success
127,2,2,2,2,1,3,"(10, 27)",Success
128,0,1,2,1,0,2,"(10, 29)",Success
129,1,1,1,2,0,2,"(11, 4)",Success
130,0,0,1,0,0,2,"(11, 10)",Failed
131,0,1,1,0,1,2,"(11, 11)",Failed
132,2,2,5,1,4,10,"(11, 12)",Failed
133,0,1,4,0,0,3,"(11, 14)",Failed
134,0,1,7,0,0,4,"(11, 15)",Failed
135,0,0,2,0,0,1,"(11, 18)",Failed
136,0,1,2,0,0,4,"(11, 19)",Failed
137,0,1,2,0,0,3,"(11, 24)",Failed
138,0,0,1,0,0,2,"(11, 25)",Failed
139,0,1,2,0,1,3,"(11, 26)",Failed
140,0,0,1,0,2,7,"(11, 27)",Failed
141,0,0,0,0,0,0,"(11, 30)",Failed
142,0,3,9,3,2,7,"(12, 2)",Failed
143,0,0,1,1,0,1,"(12, 4)",Failed
144,0,1,2,1,0,2,"(12, 6)",Success
145,0,1,4,0,1,6,"(12, 7)",Failed
146,0,0,2,2,0,4,"(12, 9)",Failed
147,0,0,2,1,0,2,"(12, 13)",Failed
148,0,0,0,0,0,1,"(12, 14)",Failed
149,1,1,2,1,1,2,"(12, 15)",Failed
150,1,1,2,1,5,5,"(12, 21)",Failed
151,0,0,1,0,0,2,"(12, 22)",Failed
152,0,0,2,2,1,2,"(12, 23)",Failed
153,0,0,0,0,0,1,"(12, 24)",Failed
