,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,3,4,3,2,1,4,"(1, 4)",Success
1,1,0,2,0,0,2,"(1, 7)",Failed
2,1,4,1,1,0,7,"(1, 10)",Failed
3,0,0,2,0,0,1,"(1, 11)",Failed
4,1,1,2,1,0,5,"(1, 13)",Failed
5,2,2,5,2,0,7,"(1, 14)",Failed
6,1,1,3,1,0,5,"(1, 16)",Success
7,1,1,1,2,0,4,"(1, 20)",Failed
8,0,0,1,1,0,3,"(1, 22)",Failed
9,0,0,2,0,0,1,"(1, 24)",Failed
10,1,1,4,0,0,6,"(1, 25)",Failed
11,0,0,0,0,0,0,"(1, 26)",Failed
12,0,0,2,0,0,1,"(1, 28)",Failed
13,0,0,0,0,0,0,"(1, 29)",Failed
14,1,1,3,2,0,4,"(2, 2)",Success
15,1,1,5,0,0,2,"(2, 3)",Success
16,1,2,1,2,0,1,"(2, 6)",Success
17,2,1,6,0,1,7,"(2, 8)",Success
18,2,2,5,2,0,4,"(2, 9)",Success
19,3,0,5,2,0,5,"(2, 12)",Success
20,2,1,5,2,1,5,"(2, 13)",Success
21,2,3,4,1,0,5,"(2, 14)",Success
22,1,0,3,1,0,3,"(2, 18)",Failed
23,2,0,4,1,0,5,"(2, 20)",Failed
24,0,0,4,1,0,6,"(2, 21)",Failed
25,1,0,3,1,1,5,"(2, 23)",Success
26,4,2,2,5,0,7,"(2, 25)",Success
27,0,0,1,0,0,1,"(2, 27)",Failed
28,1,0,4,0,0,6,"(2, 28)",Failed
29,0,1,2,1,2,1,"(3, 1)",Success
30,2,2,2,2,2,2,"(3, 7)",Success
31,4,4,3,3,3,4,"(3, 8)",Success
32,1,1,5,4,2,1,"(3, 10)",Success
33,4,1,6,2,1,8,"(3, 11)",Failed
34,4,2,2,4,1,4,"(3, 12)",Success
35,1,2,1,3,0,3,"(3, 14)",Success
36,1,2,2,4,0,2,"(3, 16)",Success
37,2,3,2,2,1,3,"(3, 18)",Success
38,1,1,2,4,0,4,"(3, 20)",Failed
39,2,1,4,4,2,6,"(3, 23)",Failed
40,1,2,2,3,0,2,"(3, 24)",Failed
41,3,0,3,2,0,3,"(3, 26)",Failed
