,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.336,0.236,10000.0,"(1, 1)",Failed
1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.388,0.144,0.108,0.104,"(1, 2)",Failed
2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.18,10000.0,"(1, 3)",Failed
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.232,0.208,0.536,10000.0,"(1, 6)",Failed
4,10000.0,0.612,10000.0,0.54,0.516,0.444,0.704,0.704,10000.0,0.0,0.136,0.148,"(1, 8)",Failed
5,10000.0,10000.0,10000.0,0.628,0.484,0.476,10000.0,10000.0,0.672,0.424,0.128,0.16,"(1, 9)",Failed
6,10000.0,10000.0,10000.0,10000.0,0.516,10000.0,10000.0,10000.0,10000.0,0.0,0.344,10000.0,"(1, 12)",Failed
7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.248,10000.0,"(1, 15)",Failed
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.332,0.032,0.108,0.124,"(1, 17)",Failed
9,0.64,0.64,10000.0,0.644,0.492,0.488,10000.0,10000.0,0.484,0.0,0.292,10000.0,"(1, 18)",Failed
10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.3,0.0,0.092,0.156,"(1, 21)",Failed
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.352,10000.0,"(1, 23)",Failed
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.652,0.028,10000.0,10000.0,"(1, 27)",Failed
13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.256,0.08,10000.0,"(1, 30)",Failed
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.268,0.38,10000.0,"(2, 1)",Failed
15,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.016,0.42,10000.0,"(2, 4)",Failed
16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.004,0.4,10000.0,"(2, 7)",Failed
17,10000.0,0.548,10000.0,10000.0,0.536,0.536,0.472,0.452,0.544,0.028,0.296,0.552,"(2, 10)",Failed
18,10000.0,10000.0,0.672,0.632,0.652,0.632,10000.0,10000.0,10000.0,0.056,0.232,0.384,"(2, 15)",Failed
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.06,0.516,10000.0,"(2, 16)",Failed
20,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.512,10000.0,10000.0,"(2, 17)",Failed
21,10000.0,0.444,10000.0,0.432,0.468,0.408,0.4,0.388,0.66,0.02,0.332,0.592,"(2, 22)",Failed
22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.048,0.328,10000.0,"(2, 26)",Failed
23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.48,0.056,10000.0,10000.0,"(2, 29)",Failed
24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.524,0.224,10000.0,0.024,0.456,10000.0,"(2, 30)",Failed
25,10000.0,0.512,0.6,0.316,0.548,0.328,0.26,0.264,10000.0,0.244,0.16,0.156,"(3, 2)",Failed
26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.036,0.384,0.3,"(3, 3)",Failed
27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.624,0.56,10000.0,0.004,0.228,0.228,"(3, 4)",Failed
28,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.42,0.384,"(3, 5)",Failed
29,10000.0,0.444,0.464,0.412,0.416,0.432,10000.0,0.312,10000.0,0.032,0.316,0.256,"(3, 6)",Failed
30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.036,10000.0,10000.0,"(3, 9)",Failed
31,10000.0,0.588,10000.0,0.672,10000.0,0.664,0.272,0.268,0.508,0.0,0.448,10000.0,"(3, 13)",Failed
32,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.444,0.152,0.62,10000.0,"(3, 15)",Failed
33,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.288,0.252,10000.0,0.0,0.212,10000.0,"(3, 17)",Failed
34,0.48,0.464,0.508,0.468,10000.0,10000.0,0.216,0.224,0.448,0.0,0.336,10000.0,"(3, 19)",Failed
35,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.452,0.436,10000.0,0.312,0.412,0.56,"(3, 22)",Failed
36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.044,10000.0,10000.0,"(3, 25)",Failed
37,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.696,10000.0,0.068,10000.0,10000.0,"(3, 28)",Failed
38,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.12,10000.0,10000.0,"(3, 30)",Failed
39,10000.0,10000.0,10000.0,0.696,0.64,0.688,10000.0,0.676,10000.0,0.0,0.372,10000.0,"(4, 1)",Failed
40,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.384,0.384,"(4, 2)",Failed
41,0.468,0.392,0.396,0.248,0.032,0.036,0.412,0.404,0.236,0.096,0.0,0.044,"(4, 3)",Failed
42,0.456,0.428,0.352,0.324,0.228,0.3,0.436,0.496,0.552,0.528,0.12,0.184,"(4, 5)",Failed
43,0.5,0.504,0.288,0.248,0.224,0.208,0.408,0.384,0.428,0.0,0.0,0.0,"(4, 6)",Failed
44,0.496,0.44,0.448,0.428,0.38,0.364,0.536,0.476,10000.0,0.0,0.216,10000.0,"(4, 8)",Failed
45,0.416,0.352,0.336,0.316,0.232,0.24,0.408,0.408,10000.0,0.0,0.0,0.008,"(4, 13)",Failed
46,10000.0,0.688,10000.0,0.692,0.484,0.592,10000.0,10000.0,10000.0,0.0,0.152,10000.0,"(4, 17)",Failed
47,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.176,10000.0,"(4, 18)",Failed
48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.252,10000.0,"(4, 20)",Failed
49,0.356,0.356,0.296,0.2,0.116,0.128,0.408,0.324,0.288,0.0,0.092,10000.0,"(4, 22)",Failed
50,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.048,10000.0,"(4, 24)",Failed
51,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.012,0.556,0.56,"(4, 26)",Failed
52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.18,10000.0,"(4, 29)",Failed
53,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.012,0.456,0.428,"(4, 30)",Failed
54,10000.0,10000.0,10000.0,0.672,10000.0,0.604,10000.0,10000.0,10000.0,0.0,0.584,0.58,"(5, 1)",Failed
55,0.412,0.388,0.496,0.22,0.372,0.388,0.388,0.324,10000.0,0.0,0.192,0.188,"(5, 4)",Success
56,0.608,0.572,0.588,0.592,0.584,0.588,0.496,0.488,0.632,0.0,0.26,0.2,"(5, 5)",Failed
57,10000.0,0.612,10000.0,0.616,0.592,10000.0,0.432,0.428,0.256,0.0,0.368,0.32,"(5, 6)",Failed
58,0.692,0.664,10000.0,10000.0,10000.0,10000.0,0.696,0.648,10000.0,0.0,0.404,10000.0,"(5, 8)",Failed
59,0.352,0.352,0.4,0.364,0.384,0.412,0.228,0.232,10000.0,0.336,0.24,0.396,"(5, 10)",Failed
60,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.24,0.504,"(5, 19)",Failed
61,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.688,10000.0,10000.0,0.0,0.564,10000.0,"(5, 21)",Failed
62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.408,10000.0,"(5, 22)",Failed
63,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.176,0.432,0.268,"(5, 25)",Failed
64,10000.0,0.656,10000.0,10000.0,10000.0,10000.0,0.552,0.512,10000.0,0.0,0.384,0.384,"(5, 30)",Failed
65,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.2,0.0,0.172,10000.0,"(6, 3)",Failed
66,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.664,0.016,0.22,10000.0,"(6, 5)",Failed
67,10000.0,10000.0,10000.0,10000.0,0.432,10000.0,10000.0,0.628,0.196,0.04,0.108,0.328,"(6, 6)",Failed
68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.28,0.052,0.192,10000.0,"(6, 7)",Failed
69,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.336,0.064,0.208,10000.0,"(6, 9)",Failed
70,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.136,0.0,0.16,0.332,"(6, 11)",Failed
71,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.276,0.004,0.256,10000.0,"(6, 12)",Failed
72,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.048,0.0,0.432,10000.0,"(6, 15)",Failed
73,10000.0,10000.0,10000.0,0.66,0.672,10000.0,0.488,0.416,0.084,0.0,10000.0,10000.0,"(6, 18)",Failed
74,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.628,0.004,0.152,10000.0,"(6, 19)",Failed
75,10000.0,10000.0,10000.0,10000.0,0.34,0.32,10000.0,10000.0,0.092,0.088,0.132,10000.0,"(6, 23)",Failed
76,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.06,0.0,0.08,10000.0,"(6, 26)",Failed
77,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.104,0.0,0.092,0.148,"(6, 29)",Failed
78,10000.0,0.384,0.416,0.412,0.368,0.32,0.552,0.364,10000.0,0.024,0.28,0.28,"(7, 2)",Failed
79,10000.0,0.456,10000.0,10000.0,0.316,0.44,0.428,0.416,0.284,0.284,0.112,0.32,"(7, 3)",Success
80,10000.0,0.52,10000.0,10000.0,0.332,0.348,10000.0,10000.0,10000.0,0.0,0.24,0.288,"(7, 4)",Success
81,10000.0,10000.0,10000.0,10000.0,0.664,10000.0,0.58,0.572,10000.0,0.016,0.344,0.344,"(7, 10)",Failed
82,10000.0,10000.0,10000.0,10000.0,0.624,10000.0,10000.0,10000.0,10000.0,0.016,0.532,0.54,"(7, 14)",Failed
83,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.32,10000.0,0.196,0.38,0.392,"(7, 21)",Failed
84,10000.0,10000.0,10000.0,10000.0,0.608,10000.0,10000.0,10000.0,0.604,0.044,0.372,10000.0,"(7, 28)",Failed
85,10000.0,0.356,10000.0,10000.0,0.496,10000.0,10000.0,0.324,0.464,0.06,0.12,10000.0,"(7, 29)",Failed
86,0.3,0.296,0.364,0.196,0.256,0.26,0.276,0.28,10000.0,0.188,0.18,0.284,"(8, 1)",Success
87,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.06,0.292,0.288,"(8, 2)",Failed
88,10000.0,10000.0,10000.0,10000.0,0.368,0.352,10000.0,10000.0,10000.0,0.376,0.088,0.296,"(8, 3)",Failed
89,10000.0,10000.0,10000.0,10000.0,0.664,0.604,10000.0,10000.0,10000.0,0.436,0.276,0.28,"(8, 4)",Failed
90,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.264,10000.0,"(8, 6)",Failed
91,10000.0,0.656,10000.0,10000.0,0.332,0.396,10000.0,10000.0,10000.0,0.0,0.096,0.1,"(8, 7)",Failed
92,10000.0,10000.0,10000.0,10000.0,0.588,10000.0,10000.0,10000.0,10000.0,0.0,0.196,10000.0,"(8, 8)",Failed
93,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.58,0.292,0.336,"(8, 11)",Failed
94,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.004,0.464,0.468,"(8, 14)",Failed
95,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.38,0.376,"(8, 15)",Failed
96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.044,10000.0,10000.0,"(8, 19)",Failed
97,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.436,0.016,10000.0,10000.0,"(8, 27)",Failed
98,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.64,0.02,0.52,0.48,"(8, 30)",Failed
99,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.144,10000.0,10000.0,"(9, 3)",Failed
100,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.12,0.06,0.092,10000.0,"(9, 4)",Failed
101,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.324,0.316,0.204,10000.0,"(9, 5)",Failed
102,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.208,0.02,0.628,10000.0,"(9, 7)",Failed
