,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,0.66,0.656,0.664,0.668,0.692,0.692,10000.0,10000.0,0.084,0.008,10000.0,10000.0,"(1, 3)",Failed
1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.216,0.136,10000.0,10000.0,"(1, 5)",Failed
2,0.364,0.372,0.348,0.34,0.38,0.384,0.372,0.372,0.224,0.172,10000.0,10000.0,"(1, 6)",Success
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.704,10000.0,"(1, 8)",Failed
4,10000.0,10000.0,0.636,0.636,0.684,10000.0,0.684,0.688,10000.0,0.0,0.636,10000.0,"(1, 9)",Success
5,10000.0,0.328,10000.0,0.276,0.336,0.336,0.284,0.284,10000.0,0.184,0.296,10000.0,"(1, 11)",Success
6,10000.0,10000.0,10000.0,10000.0,0.604,0.616,10000.0,0.644,10000.0,0.076,0.488,10000.0,"(1, 12)",Failed
7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.592,10000.0,10000.0,0.004,0.632,10000.0,"(1, 15)",Failed
8,0.52,0.524,10000.0,0.476,0.54,0.54,0.532,0.536,10000.0,0.0,0.52,0.524,"(1, 17)",Success
9,10000.0,0.592,0.62,0.648,0.396,0.468,0.476,0.476,0.552,0.0,0.352,10000.0,"(1, 18)",Failed
10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(1, 20)",Failed
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.464,0.048,10000.0,10000.0,"(1, 21)",Failed
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.02,10000.0,10000.0,"(1, 23)",Failed
13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.004,10000.0,10000.0,"(1, 26)",Failed
