,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.176,0.176,0.692,10000.0,"(1, 1)",Failed
1,10000.0,10000.0,10000.0,10000.0,0.636,0.64,10000.0,0.248,0.132,0.0,0.556,0.628,"(1, 2)",Failed
2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.308,0.08,0.636,10000.0,"(1, 7)",Failed
3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.388,0.08,0.608,10000.0,"(1, 10)",Failed
4,10000.0,10000.0,10000.0,10000.0,0.66,10000.0,10000.0,10000.0,0.192,0.036,0.52,10000.0,"(1, 13)",Failed
5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.128,0.128,0.396,10000.0,"(1, 14)",Failed
6,10000.0,10000.0,10000.0,10000.0,0.508,10000.0,10000.0,10000.0,0.368,0.004,0.304,10000.0,"(1, 16)",Failed
7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.448,0.044,0.244,10000.0,"(1, 19)",Failed
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.424,0.06,10000.0,10000.0,"(1, 24)",Failed
9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.272,0.016,0.328,10000.0,"(1, 25)",Failed
10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.404,0.036,0.508,10000.0,"(1, 27)",Failed
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.236,0.0,0.5,10000.0,"(1, 29)",Failed
12,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.156,10000.0,"(1, 30)",Failed
13,10000.0,0.308,0.276,0.28,10000.0,0.288,10000.0,10000.0,10000.0,0.064,0.276,0.284,"(2, 2)",Success
14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(2, 4)",Success
15,10000.0,10000.0,0.308,0.296,10000.0,10000.0,10000.0,0.388,0.348,0.004,0.388,10000.0,"(2, 9)",Success
16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.436,0.316,10000.0,10000.0,"(2, 11)",Failed
17,10000.0,0.236,0.208,0.204,10000.0,10000.0,0.208,0.212,10000.0,10000.0,0.192,10000.0,"(2, 17)",Success
18,10000.0,0.548,0.508,0.54,10000.0,10000.0,0.5,0.564,10000.0,0.1,0.46,0.472,"(2, 18)",Success
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.216,10000.0,10000.0,"(2, 28)",Failed
20,0.564,0.556,0.388,0.556,10000.0,10000.0,0.42,0.42,10000.0,0.112,0.468,0.476,"(2, 29)",Success
21,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.092,10000.0,10000.0,"(2, 30)",Failed
22,0.48,0.484,0.4,10000.0,0.468,10000.0,10000.0,10000.0,0.38,0.136,10000.0,10000.0,"(4, 3)",Success
23,10000.0,10000.0,0.16,0.164,0.184,0.184,0.192,0.196,10000.0,10000.0,0.16,10000.0,"(4, 7)",Success
24,0.62,0.616,0.396,0.612,0.636,0.64,0.676,0.676,0.064,0.064,0.66,10000.0,"(4, 10)",Failed
25,0.452,0.448,0.404,0.472,0.464,0.464,10000.0,10000.0,0.3,0.248,0.452,10000.0,"(4, 12)",Success
26,0.604,0.56,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.152,0.068,10000.0,10000.0,"(4, 13)",Failed
27,10000.0,0.24,0.164,0.188,0.18,0.184,0.184,0.188,10000.0,10000.0,0.18,10000.0,"(4, 14)",Success
28,10000.0,0.14,0.08,0.084,0.092,0.096,0.12,0.12,0.172,0.012,0.08,0.156,"(4, 16)",Success
29,10000.0,0.088,0.04,0.052,0.084,0.096,10000.0,0.128,10000.0,10000.0,0.124,0.128,"(4, 19)",Success
30,10000.0,0.204,0.16,0.164,0.196,0.236,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(4, 20)",Success
31,10000.0,0.216,0.2,0.2,0.212,0.232,10000.0,10000.0,10000.0,10000.0,0.212,0.22,"(4, 21)",Success
32,10000.0,0.084,0.056,10000.0,10000.0,10000.0,0.096,0.1,10000.0,10000.0,10000.0,10000.0,"(4, 25)",Success
33,10000.0,0.244,10000.0,10000.0,0.248,0.248,0.264,0.264,10000.0,0.104,0.244,10000.0,"(4, 26)",Success
34,10000.0,0.148,0.116,10000.0,0.144,0.148,0.144,0.144,10000.0,10000.0,0.14,10000.0,"(4, 28)",Success
35,10000.0,0.312,0.256,0.256,0.288,0.292,0.288,0.288,10000.0,0.06,0.28,10000.0,"(4, 30)",Success
36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.304,0.0,10000.0,10000.0,"(6, 8)",Failed
37,10000.0,10000.0,10000.0,10000.0,0.496,0.568,10000.0,10000.0,10000.0,0.0,0.44,0.592,"(6, 9)",Failed
38,10000.0,10000.0,10000.0,10000.0,0.36,10000.0,10000.0,10000.0,10000.0,0.264,0.28,0.672,"(6, 10)",Failed
39,10000.0,10000.0,10000.0,10000.0,0.692,10000.0,10000.0,10000.0,10000.0,0.052,0.532,0.584,"(6, 13)",Failed
40,10000.0,10000.0,0.604,10000.0,0.4,0.6,10000.0,10000.0,10000.0,0.048,0.316,0.364,"(6, 14)",Failed
41,10000.0,10000.0,10000.0,10000.0,0.64,10000.0,10000.0,10000.0,10000.0,0.036,0.556,10000.0,"(6, 15)",Failed
42,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.54,10000.0,0.012,0.436,10000.0,"(6, 17)",Failed
43,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.228,0.132,0.488,10000.0,"(6, 20)",Failed
44,10000.0,10000.0,10000.0,10000.0,0.5,10000.0,10000.0,10000.0,0.164,0.116,0.304,10000.0,"(6, 21)",Failed
45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.276,0.136,0.424,10000.0,"(6, 23)",Failed
46,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.308,0.092,0.492,0.624,"(6, 24)",Failed
47,10000.0,0.568,0.688,10000.0,0.408,0.428,0.656,0.564,0.184,0.236,0.344,0.42,"(6, 25)",Failed
48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.152,10000.0,10000.0,"(7, 1)",Failed
49,10000.0,10000.0,10000.0,10000.0,0.42,0.424,10000.0,10000.0,10000.0,0.0,0.216,10000.0,"(7, 8)",Failed
50,10000.0,10000.0,10000.0,10000.0,0.488,10000.0,10000.0,10000.0,0.572,0.056,0.296,10000.0,"(7, 9)",Failed
51,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,0.012,0.648,10000.0,"(7, 10)",Failed
52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.552,0.02,0.476,10000.0,"(7, 14)",Failed
53,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.148,0.06,0.196,10000.0,"(7, 17)",Failed
54,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.372,0.032,10000.0,10000.0,"(7, 20)",Failed
55,10000.0,10000.0,10000.0,10000.0,0.648,10000.0,10000.0,10000.0,0.188,0.076,0.228,10000.0,"(7, 21)",Failed
56,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.3,0.3,0.1,10000.0,"(7, 22)",Failed
57,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.316,0.016,0.512,10000.0,"(7, 23)",Failed
58,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.212,0.02,0.2,10000.0,"(7, 24)",Failed
59,10000.0,10000.0,10000.0,10000.0,0.628,10000.0,10000.0,10000.0,0.472,0.064,0.472,10000.0,"(7, 28)",Failed
60,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.136,0.036,10000.0,10000.0,"(7, 30)",Failed
61,10000.0,10000.0,0.532,0.536,0.552,0.56,10000.0,10000.0,10000.0,0.068,0.524,10000.0,"(9, 1)",Success
62,10000.0,10000.0,0.336,0.324,0.36,0.364,0.364,10000.0,10000.0,0.0,0.34,10000.0,"(9, 2)",Success
63,10000.0,0.416,0.392,0.376,0.404,0.404,0.404,0.424,10000.0,0.0,0.396,10000.0,"(9, 3)",Success
64,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.676,10000.0,"(9, 4)",Failed
65,10000.0,10000.0,0.268,0.276,0.3,0.3,10000.0,10000.0,10000.0,0.0,0.24,10000.0,"(9, 5)",Success
66,10000.0,10000.0,10000.0,10000.0,0.696,0.7,10000.0,10000.0,10000.0,0.0,0.528,10000.0,"(9, 6)",Failed
67,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.088,10000.0,10000.0,"(9, 11)",Failed
68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.14,0.536,10000.0,"(9, 14)",Failed
69,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.12,0.648,10000.0,"(9, 15)",Failed
70,10000.0,0.652,0.632,0.632,10000.0,0.676,10000.0,10000.0,10000.0,0.08,0.628,10000.0,"(9, 21)",Success
71,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.304,0.048,10000.0,10000.0,"(9, 24)",Failed
72,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.064,10000.0,10000.0,"(9, 26)",Failed
73,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.116,10000.0,10000.0,"(9, 29)",Failed
74,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.28,0.272,0.472,10000.0,"(9, 30)",Failed
75,10000.0,10000.0,0.62,0.62,10000.0,10000.0,0.576,0.54,0.132,0.112,0.54,10000.0,"(10, 1)",Success
76,0.064,0.064,0.124,10000.0,10000.0,10000.0,0.072,0.024,0.0,0.0,10000.0,10000.0,"(10, 2)",Success
77,10000.0,10000.0,10000.0,0.144,10000.0,10000.0,10000.0,0.148,10000.0,0.18,0.14,10000.0,"(10, 3)",Success
78,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.328,10000.0,0.436,0.008,0.348,10000.0,"(10, 8)",Success
79,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.484,0.396,10000.0,0.036,0.184,10000.0,"(10, 9)",Failed
80,10000.0,10000.0,0.468,0.388,10000.0,10000.0,0.44,0.464,10000.0,0.032,0.452,10000.0,"(10, 10)",Success
81,10000.0,0.396,0.36,0.268,10000.0,10000.0,0.4,0.4,0.404,0.044,0.328,10000.0,"(10, 13)",Success
82,10000.0,10000.0,0.704,10000.0,10000.0,10000.0,0.672,0.672,0.172,0.108,0.544,10000.0,"(10, 16)",Failed
83,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(10, 21)",Success
84,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.384,0.4,0.032,0.0,0.22,0.228,"(10, 22)",Success
85,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.596,10000.0,0.176,0.176,10000.0,10000.0,"(10, 26)",Failed
86,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.088,0.144,10000.0,0.012,0.112,10000.0,"(10, 27)",Success
87,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.084,0.0,0.608,10000.0,"(10, 30)",Failed
88,10000.0,10000.0,0.084,0.072,10000.0,10000.0,10000.0,10000.0,0.112,0.116,0.108,10000.0,"(11, 1)",Success
89,10000.0,0.56,10000.0,10000.0,10000.0,10000.0,0.332,0.448,0.58,0.004,10000.0,10000.0,"(11, 3)",Success
90,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.004,10000.0,10000.0,"(11, 6)",Failed
91,10000.0,10000.0,0.168,10000.0,10000.0,0.18,0.2,0.2,10000.0,0.0,0.16,10000.0,"(11, 7)",Success
92,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.332,0.116,10000.0,10000.0,"(11, 8)",Failed
93,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.296,0.0,10000.0,10000.0,"(11, 9)",Failed
94,10000.0,0.168,10000.0,10000.0,0.164,10000.0,0.136,0.14,10000.0,0.008,10000.0,10000.0,"(11, 10)",Success
95,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(11, 11)",Failed
96,10000.0,10000.0,10000.0,0.196,10000.0,10000.0,10000.0,10000.0,10000.0,0.068,0.216,10000.0,"(11, 12)",Success
97,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(11, 13)",Failed
98,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.048,10000.0,10000.0,"(11, 23)",Failed
99,10000.0,0.492,0.544,0.464,0.592,10000.0,0.468,0.472,10000.0,0.324,0.536,10000.0,"(11, 24)",Success
100,10000.0,0.576,10000.0,0.524,10000.0,10000.0,0.508,0.568,10000.0,0.072,0.556,10000.0,"(11, 25)",Success
101,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.132,10000.0,10000.0,"(11, 26)",Failed
102,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.116,10000.0,10000.0,"(11, 30)",Failed
103,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.292,0.408,"(12, 8)",Failed
104,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.616,0.62,0.328,0.024,0.344,0.544,"(12, 17)",Failed
105,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.344,0.372,0.368,"(12, 19)",Failed
106,10000.0,0.3,0.308,10000.0,10000.0,10000.0,0.268,0.268,10000.0,0.024,0.328,10000.0,"(12, 20)",Success
107,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.016,10000.0,10000.0,"(12, 21)",Failed
108,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.08,10000.0,10000.0,"(12, 23)",Failed
109,10000.0,10000.0,10000.0,0.12,0.176,10000.0,0.144,0.148,10000.0,10000.0,0.14,10000.0,"(12, 24)",Success
110,10000.0,0.448,10000.0,0.476,10000.0,10000.0,0.388,0.4,10000.0,0.0,0.444,0.448,"(12, 27)",Success
111,0.624,10000.0,10000.0,0.592,10000.0,10000.0,0.608,0.612,10000.0,0.14,10000.0,10000.0,"(12, 28)",Success
112,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.448,0.296,0.384,10000.0,"(12, 29)",Failed
113,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.132,10000.0,10000.0,"(12, 30)",Failed
114,10000.0,0.304,0.316,0.312,0.352,0.36,0.34,0.34,10000.0,0.036,0.336,0.34,"(13, 1)",Success
115,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.044,0.684,10000.0,"(13, 11)",Failed
116,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.176,10000.0,10000.0,"(13, 12)",Failed
117,10000.0,0.544,0.592,0.568,0.536,0.536,0.592,0.592,10000.0,0.052,10000.0,10000.0,"(13, 13)",Success
118,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.336,10000.0,10000.0,"(13, 14)",Failed
119,10000.0,0.108,0.076,0.08,0.108,0.108,0.192,0.148,10000.0,0.072,10000.0,10000.0,"(13, 15)",Success
120,10000.0,10000.0,10000.0,10000.0,0.6,10000.0,10000.0,10000.0,0.316,0.14,10000.0,10000.0,"(13, 18)",Failed
121,0.556,0.552,0.244,0.156,0.56,0.58,0.58,0.58,10000.0,0.18,0.584,10000.0,"(13, 19)",Success
122,10000.0,10000.0,0.676,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.084,10000.0,10000.0,"(13, 20)",Failed
123,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.088,10000.0,10000.0,"(13, 22)",Failed
124,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.504,0.02,0.588,10000.0,"(13, 23)",Failed
125,10000.0,0.188,0.156,0.148,0.236,0.24,0.192,0.196,0.24,0.24,0.224,10000.0,"(13, 28)",Success
126,10000.0,0.664,10000.0,10000.0,0.54,10000.0,10000.0,10000.0,0.3,0.12,0.476,10000.0,"(13, 30)",Failed
127,10000.0,10000.0,0.532,10000.0,0.544,0.548,10000.0,10000.0,10000.0,0.088,0.544,10000.0,"(14, 3)",Success
128,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.528,0.088,0.696,10000.0,"(14, 9)",Failed
129,10000.0,10000.0,0.672,0.552,0.556,0.552,10000.0,10000.0,0.248,0.216,10000.0,10000.0,"(14, 12)",Failed
130,10000.0,10000.0,0.696,10000.0,0.472,0.64,10000.0,10000.0,10000.0,0.332,10000.0,10000.0,"(14, 15)",Failed
131,10000.0,10000.0,10000.0,10000.0,0.624,0.628,10000.0,10000.0,0.524,0.024,0.632,10000.0,"(14, 18)",Failed
132,0.48,0.42,0.304,10000.0,0.248,0.26,0.456,10000.0,10000.0,0.308,0.304,0.3,"(14, 19)",Success
133,0.392,0.392,0.32,0.26,10000.0,10000.0,10000.0,10000.0,10000.0,0.064,0.368,10000.0,"(14, 21)",Success
134,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.58,0.04,10000.0,10000.0,"(14, 25)",Failed
135,10000.0,10000.0,10000.0,10000.0,0.564,10000.0,10000.0,10000.0,0.164,0.096,10000.0,10000.0,"(14, 26)",Failed
136,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.092,10000.0,10000.0,"(14, 27)",Failed
137,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.684,0.44,0.284,10000.0,10000.0,"(14, 29)",Failed
138,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.364,10000.0,10000.0,"(14, 30)",Failed
139,10000.0,0.252,0.32,0.348,0.2,0.232,0.332,0.332,0.056,0.008,0.0,0.0,"(15, 2)",Success
140,10000.0,0.524,0.588,10000.0,0.34,10000.0,0.668,0.568,0.16,0.0,0.188,0.344,"(15, 4)",Failed
141,0.7,0.564,0.536,10000.0,0.456,0.456,0.584,0.592,0.144,0.052,0.216,0.412,"(15, 5)",Failed
142,10000.0,10000.0,10000.0,10000.0,0.484,0.564,10000.0,10000.0,0.268,0.06,0.392,10000.0,"(15, 7)",Failed
143,10000.0,10000.0,10000.0,0.652,0.636,0.64,10000.0,10000.0,0.12,0.0,0.484,10000.0,"(15, 9)",Failed
144,10000.0,0.684,0.648,0.692,0.42,0.428,10000.0,0.68,0.144,0.0,0.268,0.528,"(15, 11)",Failed
145,10000.0,0.496,0.676,0.688,0.496,0.5,10000.0,0.504,0.06,0.0,0.16,10000.0,"(15, 15)",Failed
146,10000.0,0.604,0.676,0.688,0.428,0.54,10000.0,0.7,0.112,0.004,0.268,0.516,"(15, 16)",Failed
147,10000.0,10000.0,10000.0,10000.0,0.508,0.512,10000.0,10000.0,0.088,0.012,10000.0,10000.0,"(15, 22)",Failed
148,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.144,0.064,10000.0,10000.0,"(15, 23)",Failed
149,10000.0,10000.0,10000.0,10000.0,0.588,0.592,10000.0,10000.0,0.192,0.0,0.588,10000.0,"(15, 26)",Failed
150,10000.0,0.508,10000.0,10000.0,0.32,0.464,10000.0,10000.0,0.164,0.108,0.196,0.56,"(15, 28)",Failed
151,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.34,0.264,10000.0,10000.0,"(15, 29)",Failed
