,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,2,6,1,1,11,"(1, 1)",Failed
1,1,3,3,0,0,10,"(1, 2)",Failed
2,2,2,3,0,0,7,"(1, 7)",Failed
3,2,2,5,5,0,7,"(1, 10)",Failed
4,2,1,5,0,2,5,"(1, 13)",Failed
5,5,2,5,2,1,4,"(1, 14)",Failed
6,0,0,6,0,1,3,"(1, 16)",Failed
7,0,1,3,3,0,4,"(1, 19)",Failed
8,0,1,3,0,0,3,"(1, 24)",Failed
9,0,1,1,0,1,2,"(1, 25)",Failed
10,0,0,3,0,1,3,"(1, 27)",Failed
11,0,1,2,0,1,6,"(1, 29)",Failed
12,1,0,1,0,0,7,"(1, 30)",Failed
13,1,2,2,2,0,3,"(2, 2)",Success
14,1,2,2,1,0,2,"(2, 4)",Success
15,2,2,4,1,1,3,"(2, 9)",Success
16,2,1,3,1,1,2,"(2, 11)",Failed
17,1,1,0,1,0,1,"(2, 17)",Success
18,1,2,4,2,1,5,"(2, 18)",Success
19,1,1,2,3,0,5,"(2, 28)",Failed
20,1,2,3,4,0,5,"(2, 29)",Success
21,2,2,2,1,0,2,"(2, 30)",Failed
22,2,2,0,2,1,1,"(4, 3)",Success
23,2,1,1,2,0,0,"(4, 7)",Success
24,2,4,3,8,2,8,"(4, 10)",Failed
25,2,2,2,3,1,2,"(4, 12)",Success
26,1,3,4,4,2,6,"(4, 13)",Failed
27,1,2,1,1,0,1,"(4, 14)",Success
28,1,3,1,1,1,1,"(4, 16)",Success
29,1,1,1,3,0,2,"(4, 19)",Success
30,2,1,1,4,0,0,"(4, 20)",Success
31,1,1,2,3,0,2,"(4, 21)",Success
32,1,1,1,1,0,0,"(4, 25)",Success
33,1,2,1,2,1,1,"(4, 26)",Success
34,1,2,1,1,0,1,"(4, 28)",Success
35,1,2,1,0,0,1,"(4, 30)",Success
36,2,2,8,0,2,4,"(6, 8)",Failed
37,0,0,4,0,0,4,"(6, 9)",Failed
38,1,1,6,0,0,5,"(6, 10)",Failed
39,0,0,7,0,0,7,"(6, 13)",Failed
40,0,1,5,0,1,4,"(6, 14)",Failed
41,0,1,5,0,0,5,"(6, 15)",Failed
42,0,2,7,0,0,9,"(6, 17)",Failed
43,0,1,3,1,1,6,"(6, 20)",Failed
44,2,1,6,0,0,6,"(6, 21)",Failed
45,0,0,2,0,1,7,"(6, 23)",Failed
46,0,0,5,0,0,7,"(6, 24)",Failed
47,0,3,5,0,1,7,"(6, 25)",Failed
48,0,1,6,0,0,2,"(7, 1)",Failed
49,0,3,5,0,0,5,"(7, 8)",Failed
50,0,1,5,1,0,4,"(7, 9)",Failed
51,0,0,5,0,1,7,"(7, 10)",Failed
52,0,0,5,0,0,4,"(7, 14)",Failed
53,0,0,4,0,0,9,"(7, 17)",Failed
54,0,0,6,0,0,2,"(7, 20)",Failed
55,0,2,6,0,1,4,"(7, 21)",Failed
56,0,1,7,0,1,5,"(7, 22)",Failed
57,1,1,9,0,0,7,"(7, 23)",Failed
58,0,0,7,0,1,5,"(7, 24)",Failed
59,0,0,6,1,0,5,"(7, 28)",Failed
60,0,1,4,0,1,6,"(7, 30)",Failed
61,1,1,4,1,0,4,"(9, 1)",Success
62,2,0,2,2,1,4,"(9, 2)",Success
63,1,1,2,1,0,2,"(9, 3)",Success
64,0,4,3,0,0,1,"(9, 4)",Failed
65,2,2,3,2,0,0,"(9, 5)",Success
66,0,1,2,0,0,2,"(9, 6)",Failed
67,1,2,3,0,0,2,"(9, 11)",Failed
68,0,1,3,0,0,7,"(9, 14)",Failed
69,1,2,2,1,0,5,"(9, 15)",Failed
70,0,1,4,1,0,6,"(9, 21)",Success
71,0,1,1,0,1,3,"(9, 24)",Failed
72,0,0,4,0,1,5,"(9, 26)",Failed
73,0,0,3,0,0,3,"(9, 29)",Failed
74,0,1,4,0,0,5,"(9, 30)",Failed
75,2,5,2,4,2,4,"(10, 1)",Success
76,2,3,2,2,0,1,"(10, 2)",Success
77,3,2,1,2,1,0,"(10, 3)",Success
78,2,2,3,4,2,6,"(10, 8)",Success
79,0,2,6,5,1,9,"(10, 9)",Failed
80,4,2,5,5,0,4,"(10, 10)",Success
81,6,5,4,5,1,3,"(10, 13)",Success
82,1,1,3,2,1,6,"(10, 16)",Failed
83,3,4,4,4,4,5,"(10, 21)",Success
84,0,2,5,1,0,7,"(10, 22)",Success
85,1,2,3,5,0,7,"(10, 26)",Failed
