,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,0.152,0.144,0.144,0.144,0.148,10000.0,10000.0,10000.0,0.0,0.128,10000.0,"(1, 3)",Success
1,10000.0,0.488,0.56,0.576,0.568,0.572,0.564,0.564,10000.0,0.0,0.476,10000.0,"(1, 4)",Success
2,10000.0,10000.0,10000.0,10000.0,0.272,0.272,10000.0,10000.0,10000.0,0.008,0.232,10000.0,"(1, 7)",Success
3,10000.0,10000.0,10000.0,0.388,0.44,0.452,10000.0,10000.0,10000.0,0.0,0.428,10000.0,"(1, 11)",Success
4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.592,10000.0,"(1, 14)",Failed
5,10000.0,10000.0,10000.0,10000.0,0.136,10000.0,10000.0,10000.0,10000.0,0.024,0.112,10000.0,"(1, 15)",Success
6,10000.0,0.144,10000.0,0.144,0.168,0.156,10000.0,10000.0,10000.0,10000.0,0.128,10000.0,"(1, 20)",Success
7,10000.0,0.196,10000.0,10000.0,0.196,10000.0,10000.0,10000.0,10000.0,0.064,0.188,10000.0,"(1, 21)",Success
8,10000.0,10000.0,10000.0,10000.0,0.144,0.148,10000.0,10000.0,10000.0,10000.0,0.14,10000.0,"(1, 23)",Success
9,10000.0,10000.0,10000.0,0.256,0.332,0.328,0.548,0.548,10000.0,0.0,0.232,10000.0,"(1, 25)",Success
10,10000.0,10000.0,0.412,0.256,0.444,0.444,10000.0,10000.0,10000.0,0.04,0.424,10000.0,"(1, 28)",Success
11,10000.0,0.252,10000.0,10000.0,0.212,10000.0,10000.0,10000.0,10000.0,0.024,0.24,0.244,"(1, 29)",Success
12,10000.0,0.192,0.116,0.112,10000.0,10000.0,0.192,10000.0,10000.0,0.172,0.14,10000.0,"(2, 4)",Success
13,10000.0,10000.0,0.144,0.132,0.148,0.152,10000.0,10000.0,10000.0,0.144,0.176,10000.0,"(2, 5)",Success
14,10000.0,0.1,10000.0,0.08,0.104,10000.0,10000.0,10000.0,10000.0,0.064,0.092,10000.0,"(2, 6)",Success
15,10000.0,0.18,0.12,0.12,0.164,10000.0,0.16,0.16,10000.0,0.032,0.164,10000.0,"(2, 7)",Success
16,10000.0,10000.0,0.06,10000.0,0.128,10000.0,10000.0,10000.0,10000.0,0.02,0.112,10000.0,"(2, 8)",Success
17,10000.0,0.204,10000.0,10000.0,0.16,0.156,0.2,10000.0,10000.0,0.088,0.16,10000.0,"(2, 10)",Success
18,10000.0,10000.0,0.096,0.132,10000.0,10000.0,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(2, 11)",Success
19,10000.0,0.128,0.072,0.072,0.124,0.136,10000.0,0.116,10000.0,0.06,0.132,10000.0,"(2, 12)",Success
20,10000.0,0.128,0.068,0.072,0.128,0.132,10000.0,10000.0,10000.0,0.04,10000.0,10000.0,"(2, 18)",Success
21,10000.0,10000.0,0.12,0.12,10000.0,10000.0,10000.0,10000.0,10000.0,0.124,0.148,10000.0,"(2, 19)",Success
22,10000.0,10000.0,10000.0,0.136,0.14,0.14,10000.0,10000.0,10000.0,0.06,0.12,10000.0,"(2, 22)",Success
