,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,1,1,1,2,0,0,"(1, 3)",Success
1,5,1,4,2,0,4,"(1, 4)",Success
2,4,2,1,2,0,3,"(1, 7)",Success
3,4,2,1,2,0,1,"(1, 11)",Success
4,3,2,1,1,1,3,"(1, 14)",Failed
5,1,1,1,1,0,1,"(1, 15)",Success
6,1,0,0,2,0,0,"(1, 20)",Success
7,2,2,1,3,0,1,"(1, 21)",Success
8,3,2,1,2,0,1,"(1, 23)",Success
9,9,5,4,9,0,5,"(1, 25)",Success
10,6,4,4,5,0,3,"(1, 28)",Success
11,2,2,0,3,0,0,"(1, 29)",Success
12,2,2,3,3,1,1,"(2, 4)",Success
13,2,1,2,3,0,2,"(2, 5)",Success
14,1,1,1,2,0,1,"(2, 6)",Success
15,2,2,2,3,0,0,"(2, 7)",Success
16,1,0,1,2,0,0,"(2, 8)",Success
17,2,2,2,2,0,0,"(2, 10)",Success
18,2,0,2,1,0,1,"(2, 11)",Success
19,2,1,0,1,0,1,"(2, 12)",Success
20,2,1,0,2,0,1,"(2, 18)",Success
21,2,1,0,2,0,1,"(2, 19)",Success
22,2,2,1,2,0,1,"(2, 22)",Success
23,2,1,1,1,0,1,"(2, 25)",Success
24,2,2,1,2,0,2,"(2, 28)",Success
25,5,4,3,7,0,6,"(3, 7)",Success
26,5,5,2,6,1,3,"(3, 10)",Success
27,1,2,1,4,0,2,"(3, 11)",Success
28,3,4,1,3,0,1,"(3, 12)",Success
29,2,2,1,2,1,3,"(3, 14)",Success
30,2,3,1,2,0,1,"(3, 16)",Success
31,3,2,2,3,0,2,"(3, 18)",Success
32,4,2,2,5,0,2,"(3, 19)",Success
33,2,2,1,3,0,3,"(3, 22)",Success
34,3,3,2,4,0,2,"(3, 23)",Failed
35,4,3,1,5,0,1,"(3, 26)",Success
36,2,2,1,3,0,2,"(3, 27)",Success
37,2,2,1,2,0,1,"(3, 28)",Success
38,4,5,2,5,0,3,"(3, 29)",Success
39,1,0,0,2,0,0,"(4, 2)",Success
40,1,1,1,1,0,0,"(4, 3)",Success
41,1,1,1,2,2,0,"(4, 7)",Success
42,2,1,0,2,0,0,"(4, 8)",Success
43,8,7,5,6,2,3,"(4, 11)",Success
44,1,1,0,1,0,0,"(4, 12)",Success
45,3,1,1,2,0,1,"(4, 13)",Success
46,3,2,1,2,0,1,"(4, 15)",Success
47,3,2,1,2,0,1,"(4, 17)",Success
48,1,1,1,2,0,0,"(4, 18)",Success
49,2,0,1,2,0,0,"(4, 19)",Success
50,1,0,1,1,0,0,"(4, 20)",Success
51,2,2,1,2,0,1,"(4, 24)",Success
52,2,2,0,1,0,0,"(4, 25)",Success
53,4,3,0,4,0,0,"(4, 26)",Success
54,2,3,0,3,0,2,"(5, 1)",Success
55,1,1,0,2,0,0,"(5, 2)",Success
56,2,2,1,2,0,1,"(5, 5)",Success
57,3,3,1,3,0,1,"(5, 13)",Success
58,6,4,3,3,0,3,"(5, 16)",Success
59,4,2,4,4,0,4,"(5, 17)",Success
60,1,2,0,2,0,1,"(5, 19)",Success
61,2,2,1,2,0,1,"(5, 20)",Success
62,4,1,1,4,0,1,"(5, 22)",Success
63,3,3,1,4,0,2,"(5, 25)",Success
64,1,1,4,0,0,3,"(5, 27)",Success
65,1,1,1,2,0,0,"(6, 3)",Success
66,1,1,1,1,0,0,"(6, 4)",Success
67,2,1,1,1,0,3,"(6, 7)",Success
68,1,1,0,1,0,1,"(6, 9)",Success
69,1,1,1,1,0,1,"(6, 13)",Success
70,1,1,0,1,0,1,"(6, 14)",Success
71,1,1,0,1,1,1,"(6, 15)",Success
72,2,1,1,1,0,1,"(6, 18)",Success
73,1,1,0,1,1,1,"(6, 19)",Success
74,2,2,1,1,0,1,"(6, 20)",Success
75,2,1,0,1,0,1,"(6, 25)",Success
76,3,1,4,1,0,2,"(6, 26)",Success
77,2,1,2,1,0,1,"(6, 28)",Success
78,2,1,1,1,0,1,"(6, 29)",Success
79,2,1,1,2,0,0,"(7, 1)",Success
80,3,1,2,5,1,2,"(7, 6)",Success
81,2,1,0,0,0,1,"(7, 7)",Success
82,1,2,1,2,0,1,"(7, 9)",Success
83,1,1,1,1,0,1,"(7, 12)",Success
84,1,1,0,2,0,0,"(7, 13)",Success
85,4,3,1,2,0,2,"(7, 16)",Success
86,3,1,2,1,0,3,"(7, 18)",Success
87,1,1,0,1,0,0,"(7, 19)",Success
88,1,2,1,2,0,1,"(7, 20)",Success
89,1,1,1,3,0,1,"(7, 21)",Success
90,2,2,1,1,0,0,"(7, 22)",Success
91,2,3,1,3,0,1,"(7, 25)",Success
92,2,1,1,2,0,1,"(7, 26)",Success
93,0,0,2,1,0,3,"(9, 3)",Success
94,3,3,1,1,0,0,"(9, 4)",Success
95,3,1,2,1,1,2,"(9, 6)",Failed
96,1,1,1,1,0,1,"(9, 8)",Success
97,1,1,2,1,0,3,"(9, 11)",Success
98,4,1,1,1,0,1,"(9, 12)",Success
99,4,2,2,2,0,3,"(9, 13)",Success
100,5,1,2,2,0,3,"(9, 15)",Success
101,3,1,0,2,0,0,"(9, 21)",Success
102,4,0,2,3,0,2,"(9, 23)",Success
103,3,1,1,3,0,1,"(9, 24)",Success
104,3,4,3,2,1,5,"(9, 26)",Success
