,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000,10000.0,10000.0,10000.0,0.508,0.512,10000.0,10000.0,10000.0,0.016,0.388,0.496,"(1, 1)",Success
1,10000,10000.0,0.144,0.148,0.268,0.252,0.288,0.284,10000.0,0.012,0.296,10000.0,"(1, 6)",Success
2,10000,10000.0,0.196,0.196,0.208,0.208,10000.0,10000.0,10000.0,0.008,0.192,10000.0,"(1, 8)",Success
3,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.068,0.416,10000.0,"(1, 9)",Success
4,10000,10000.0,10000.0,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,0.024,10000.0,10000.0,"(1, 10)",Success
5,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.252,10000.0,"(1, 12)",Success
6,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.076,0.172,10000.0,"(1, 13)",Success
7,10000,0.2,10000.0,0.196,10000.0,10000.0,10000.0,10000.0,10000.0,0.004,0.156,0.16,"(1, 16)",Success
8,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.216,0.192,0.188,"(1, 17)",Failed
9,10000,10000.0,0.312,0.328,0.348,10000.0,10000.0,10000.0,0.236,0.124,0.236,0.356,"(1, 19)",Success
10,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.028,0.372,10000.0,"(1, 22)",Success
11,10000,10000.0,0.672,10000.0,0.468,0.472,10000.0,10000.0,0.148,0.148,0.128,10000.0,"(1, 27)",Failed
12,10000,10000.0,0.56,10000.0,0.576,0.576,10000.0,10000.0,10000.0,0.048,0.508,10000.0,"(1, 30)",Success
13,10000,0.008,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.028,0.0,0.144,10000.0,"(2, 1)",Success
14,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.136,0.016,0.092,0.152,"(2, 2)",Success
15,10000,0.192,0.172,0.172,0.184,10000.0,10000.0,0.148,10000.0,0.048,0.14,0.208,"(2, 3)",Success
16,10000,0.112,10000.0,0.084,0.112,0.116,10000.0,10000.0,10000.0,0.056,10000.0,10000.0,"(2, 13)",Success
17,10000,0.148,0.16,0.164,0.152,10000.0,10000.0,10000.0,10000.0,0.1,0.148,0.148,"(2, 14)",Success
18,10000,0.18,10000.0,0.132,0.184,0.204,10000.0,10000.0,10000.0,0.1,0.204,10000.0,"(2, 15)",Success
19,10000,0.132,10000.0,0.12,0.12,10000.0,10000.0,0.132,10000.0,10000.0,10000.0,10000.0,"(2, 16)",Success
20,10000,10000.0,10000.0,0.088,0.16,0.16,10000.0,0.152,10000.0,10000.0,0.18,10000.0,"(2, 20)",Success
21,10000,0.18,0.136,0.132,0.172,10000.0,10000.0,0.16,10000.0,0.076,0.132,10000.0,"(2, 21)",Success
22,10000,0.128,10000.0,0.06,0.1,10000.0,0.108,0.104,10000.0,10000.0,0.096,10000.0,"(2, 23)",Success
23,10000,10000.0,10000.0,0.176,0.208,0.2,10000.0,10000.0,10000.0,0.12,0.148,10000.0,"(2, 24)",Success
24,10000,0.128,10000.0,0.132,0.096,0.136,10000.0,0.092,10000.0,0.092,10000.0,10000.0,"(2, 26)",Success
25,10000,0.244,10000.0,0.184,0.24,10000.0,10000.0,0.232,10000.0,0.204,0.22,10000.0,"(2, 27)",Success
26,10000,10000.0,10000.0,0.152,0.176,10000.0,10000.0,0.144,10000.0,0.08,0.16,10000.0,"(2, 29)",Success
27,10000,0.276,10000.0,0.212,0.26,10000.0,0.28,0.276,10000.0,0.096,0.248,10000.0,"(2, 30)",Success
