,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,2,4,2,3,2,5,"(1, 1)",Success
1,1,1,1,1,0,1,"(1, 6)",Success
2,1,1,1,1,1,0,"(1, 8)",Success
3,2,0,2,3,0,1,"(1, 9)",Success
4,4,3,3,2,0,4,"(1, 10)",Success
5,0,2,0,1,0,2,"(1, 12)",Success
6,1,0,0,1,1,2,"(1, 13)",Success
7,2,1,0,1,0,0,"(1, 16)",Success
8,1,0,1,0,1,7,"(1, 17)",Failed
9,1,3,1,2,1,2,"(1, 19)",Success
10,0,0,1,1,0,2,"(1, 22)",Success
11,3,3,3,3,1,4,"(1, 27)",Failed
12,3,1,2,2,0,4,"(1, 30)",Success
13,1,2,1,1,1,1,"(2, 1)",Success
14,1,1,2,1,3,3,"(2, 2)",Success
15,1,2,1,1,0,1,"(2, 3)",Success
16,1,1,0,2,0,1,"(2, 13)",Success
17,1,1,1,2,0,1,"(2, 14)",Success
18,1,2,2,3,0,1,"(2, 15)",Success
19,1,1,2,2,0,1,"(2, 16)",Success
20,2,2,1,2,0,1,"(2, 20)",Success
21,2,1,2,2,0,1,"(2, 21)",Success
22,1,1,1,2,0,2,"(2, 23)",Success
23,3,1,2,3,0,1,"(2, 24)",Success
24,1,1,2,1,0,1,"(2, 26)",Success
25,2,2,0,2,0,3,"(2, 27)",Success
26,2,1,2,1,0,1,"(2, 29)",Success
27,2,4,2,2,0,1,"(2, 30)",Success
28,1,1,1,2,0,1,"(3, 1)",Success
29,4,2,2,2,0,2,"(3, 2)",Success
30,2,3,5,2,2,4,"(3, 3)",Success
31,1,2,0,4,1,1,"(3, 4)",Success
32,0,1,2,0,0,3,"(3, 6)",Failed
33,1,2,1,2,0,1,"(3, 8)",Success
34,3,3,2,5,1,2,"(3, 13)",Success
35,2,1,3,5,0,3,"(3, 15)",Success
36,3,4,0,3,1,1,"(3, 17)",Success
37,2,3,1,4,1,0,"(3, 20)",Success
38,1,2,0,2,0,1,"(3, 21)",Success
39,1,3,1,2,0,1,"(3, 24)",Success
40,2,2,5,5,1,3,"(3, 25)",Success
41,2,2,1,2,0,0,"(3, 30)",Success
42,1,1,1,1,0,0,"(4, 1)",Success
43,2,2,1,1,0,0,"(4, 4)",Success
44,2,2,0,2,0,1,"(4, 5)",Success
45,1,1,1,1,0,2,"(4, 6)",Success
46,1,1,1,0,0,1,"(4, 9)",Success
47,3,1,1,2,0,1,"(4, 10)",Success
48,2,1,0,1,0,2,"(4, 14)",Success
49,3,1,0,1,0,9,"(4, 16)",Success
50,2,1,0,2,0,0,"(4, 21)",Success
51,3,1,0,2,0,1,"(4, 22)",Success
52,2,2,1,2,0,1,"(4, 23)",Success
53,3,3,1,2,0,4,"(4, 27)",Success
54,3,3,1,2,0,1,"(4, 28)",Success
55,2,2,0,1,0,0,"(4, 29)",Success
56,2,1,0,1,0,0,"(4, 30)",Success
57,4,4,1,5,1,2,"(5, 10)",Success
58,2,2,1,3,0,1,"(5, 11)",Success
59,3,3,1,4,1,1,"(5, 12)",Success
60,2,1,2,2,0,1,"(5, 14)",Success
61,1,2,1,2,0,1,"(5, 18)",Success
62,3,3,3,2,1,2,"(5, 23)",Success
63,2,2,2,1,0,4,"(5, 24)",Success
64,0,6,2,2,0,1,"(5, 26)",Success
65,1,2,0,1,0,1,"(5, 28)",Success
66,1,3,3,1,0,2,"(5, 29)",Success
67,1,3,3,3,0,2,"(5, 30)",Success
68,1,1,1,2,1,1,"(6, 1)",Success
69,1,1,1,1,0,1,"(6, 2)",Success
70,1,1,1,2,0,2,"(6, 5)",Success
71,1,1,2,2,0,1,"(6, 6)",Success
72,1,1,1,2,1,2,"(6, 8)",Success
73,2,0,1,1,0,0,"(6, 10)",Success
74,1,0,1,1,1,1,"(6, 11)",Success
75,1,1,0,1,1,1,"(6, 12)",Success
76,2,1,1,2,0,2,"(6, 16)",Success
77,2,2,1,2,0,1,"(6, 17)",Success
78,1,1,0,3,1,1,"(6, 23)",Success
79,2,1,0,1,1,0,"(6, 27)",Success
80,1,1,2,1,1,1,"(6, 30)",Success
81,2,2,1,1,1,1,"(7, 2)",Success
82,1,3,0,0,1,1,"(7, 3)",Success
83,1,1,1,2,0,1,"(7, 4)",Success
84,1,1,0,1,0,0,"(7, 5)",Success
85,1,1,0,1,0,1,"(7, 8)",Success
86,2,1,0,2,1,1,"(7, 11)",Success
87,1,1,1,2,0,1,"(7, 14)",Success
88,2,0,0,2,0,1,"(7, 15)",Success
89,1,1,1,1,0,1,"(7, 17)",Success
90,2,1,0,2,1,1,"(7, 23)",Success
91,1,1,1,1,2,1,"(7, 24)",Success
92,1,1,0,1,0,0,"(7, 27)",Success
93,2,1,1,2,0,0,"(7, 28)",Success
94,1,0,1,2,0,1,"(7, 29)",Success
95,1,1,0,2,0,0,"(7, 30)",Success
96,3,2,3,2,0,2,"(9, 7)",Success
97,2,1,2,2,0,0,"(9, 9)",Success
98,2,2,1,1,0,1,"(9, 10)",Success
99,3,2,2,2,0,2,"(9, 14)",Success
100,1,1,3,1,0,3,"(9, 16)",Success
101,3,4,2,1,0,1,"(9, 17)",Success
102,2,2,1,1,0,2,"(9, 18)",Success
103,2,2,3,1,0,2,"(9, 19)",Success
104,4,2,1,3,0,3,"(9, 20)",Success
105,5,4,3,3,0,2,"(9, 25)",Success
106,4,4,2,2,1,2,"(9, 27)",Success
107,3,2,2,2,0,3,"(9, 28)",Success
108,3,1,1,2,0,1,"(9, 29)",Success
109,2,2,2,3,0,1,"(9, 30)",Success
