,L-f,L-m,L-h,R-f,R-m,R-h,Index,Result
0,3,1,6,1,0,0,"(1, 4)",Failed
1,1,1,2,2,1,2,"(1, 5)",Success
2,1,0,6,2,0,0,"(1, 6)",Failed
3,1,1,1,1,1,1,"(1, 7)",Success
4,4,3,3,0,1,1,"(1, 8)",Failed
5,1,1,2,0,0,0,"(1, 9)",Failed
6,4,2,2,1,1,2,"(1, 10)",Success
7,2,0,0,0,0,1,"(1, 11)",Success
8,1,1,2,0,0,0,"(1, 12)",Success
9,3,0,2,0,0,1,"(1, 13)",Success
10,3,2,4,0,0,0,"(1, 14)",Success
11,2,2,0,0,0,1,"(1, 15)",Success
12,1,0,4,1,0,0,"(1, 16)",Failed
13,1,2,1,0,0,1,"(1, 17)",Success
14,2,2,4,0,1,1,"(1, 18)",Success
15,1,2,0,0,0,1,"(1, 19)",Success
16,2,2,3,0,0,0,"(1, 20)",Success
17,2,1,2,0,0,6,"(2, 4)",Failed
18,2,0,3,2,0,4,"(2, 5)",Failed
19,5,1,3,1,1,4,"(2, 6)",Failed
20,3,1,3,1,0,7,"(2, 7)",Failed
21,10,2,4,0,0,0,"(2, 8)",Failed
22,5,0,4,1,0,8,"(2, 10)",Failed
23,0,2,3,1,1,3,"(2, 11)",Success
24,6,1,3,1,1,9,"(2, 12)",Failed
25,2,1,0,1,1,2,"(2, 13)",Failed
26,6,1,3,1,1,3,"(2, 14)",Failed
27,4,1,3,2,0,6,"(2, 15)",Failed
28,0,0,1,0,0,6,"(2, 16)",Failed
29,1,2,3,0,1,6,"(2, 17)",Success
30,5,0,1,1,1,4,"(2, 18)",Failed
31,6,0,2,0,0,3,"(2, 19)",Failed
32,5,1,2,0,1,6,"(2, 20)",Failed
33,4,1,3,0,1,3,"(3, 4)",Success
34,3,0,2,1,0,1,"(3, 5)",Failed
35,4,2,4,1,1,3,"(3, 6)",Success
36,2,0,4,2,1,1,"(3, 7)",Failed
37,5,1,2,2,0,3,"(3, 8)",Success
38,1,0,3,0,0,3,"(3, 9)",Failed
39,2,1,2,1,3,1,"(3, 10)",Success
40,3,1,2,0,0,2,"(3, 11)",Failed
41,1,2,1,0,0,1,"(3, 12)",Success
42,3,2,1,0,0,3,"(3, 13)",Success
43,1,1,2,2,1,2,"(3, 14)",Success
44,1,4,6,4,0,8,"(3, 16)",Success
45,0,2,1,2,0,2,"(3, 17)",Success
46,1,1,2,1,0,1,"(3, 18)",Success
47,2,1,0,0,0,1,"(3, 19)",Success
48,1,1,1,1,0,1,"(3, 20)",Success
49,1,1,4,0,0,1,"(4, 4)",Success
50,1,1,1,0,0,1,"(4, 5)",Success
51,0,1,1,1,0,2,"(4, 6)",Success
52,1,2,3,2,0,3,"(4, 7)",Success
53,1,1,2,0,1,1,"(4, 8)",Success
54,2,0,4,2,1,1,"(4, 9)",Success
55,1,0,1,1,1,0,"(4, 10)",Success
56,2,2,2,0,1,1,"(4, 11)",Success
57,1,1,3,2,1,1,"(4, 12)",Success
58,1,0,1,2,0,0,"(4, 13)",Success
59,2,1,2,0,1,0,"(4, 14)",Success
60,1,0,1,1,1,0,"(4, 15)",Success
61,2,0,3,1,1,2,"(4, 16)",Success
62,1,1,1,1,1,1,"(4, 17)",Success
63,1,1,1,1,0,1,"(4, 18)",Success
64,1,0,1,0,1,0,"(4, 19)",Success
65,1,1,3,1,0,2,"(4, 20)",Success
66,1,1,2,1,0,2,"(5, 5)",Success
67,2,1,2,3,1,5,"(5, 7)",Success
68,1,1,0,2,1,1,"(5, 9)",Success
69,2,1,0,0,0,2,"(5, 12)",Success
70,3,2,1,1,0,2,"(5, 13)",Success
71,4,1,4,0,0,6,"(5, 14)",Success
72,1,2,2,0,0,4,"(5, 18)",Success
73,1,0,0,0,0,0,"(5, 19)",Success
74,1,0,1,2,1,2,"(5, 20)",Success
75,1,2,1,0,1,1,"(6, 7)",Success
76,1,1,1,0,1,1,"(6, 8)",Success
77,1,1,1,1,1,1,"(6, 10)",Success
78,0,0,2,0,0,2,"(6, 11)",Failed
79,1,1,1,0,1,1,"(6, 12)",Success
80,0,0,3,0,0,7,"(6, 13)",Failed
81,2,1,5,1,0,6,"(6, 14)",Success
82,2,1,1,1,1,2,"(6, 15)",Success
83,3,1,2,1,1,1,"(6, 16)",Success
84,1,1,1,0,0,3,"(6, 17)",Success
85,3,1,8,0,1,3,"(6, 18)",Failed
86,2,1,2,0,0,2,"(6, 19)",Success
87,1,2,1,0,1,3,"(6, 20)",Success
88,1,0,3,0,0,8,"(7, 4)",Failed
89,2,1,2,0,1,2,"(7, 5)",Success
90,1,1,0,0,1,2,"(7, 7)",Success
91,0,0,0,3,0,0,"(7, 8)",Failed
92,4,1,1,2,0,2,"(7, 9)",Success
93,3,1,1,2,1,1,"(7, 11)",Success
94,1,1,1,0,1,1,"(7, 12)",Success
95,2,1,2,1,1,1,"(7, 14)",Success
96,3,1,1,3,1,2,"(7, 15)",Failed
97,2,2,3,2,1,1,"(7, 16)",Success
98,0,1,1,0,1,2,"(7, 17)",Success
99,1,0,2,0,0,2,"(7, 19)",Success
100,2,1,1,1,1,1,"(7, 20)",Success
101,2,0,1,1,0,6,"(8, 4)",Failed
102,0,0,1,0,0,7,"(8, 5)",Failed
103,2,1,1,0,1,2,"(8, 6)",Success
104,1,1,1,0,1,7,"(8, 7)",Success
105,2,2,4,2,1,4,"(8, 8)",Success
106,1,0,0,1,0,4,"(8, 9)",Failed
107,3,2,2,0,0,8,"(8, 10)",Success
108,1,1,0,1,1,8,"(8, 11)",Failed
109,1,1,0,1,0,7,"(8, 12)",Failed
110,1,1,1,1,1,1,"(8, 13)",Success
111,1,1,2,0,1,3,"(8, 14)",Success
112,0,0,1,0,1,5,"(8, 15)",Failed
113,1,1,2,0,1,4,"(8, 16)",Success
114,1,1,2,1,1,1,"(8, 17)",Success
115,2,1,1,2,1,7,"(8, 18)",Success
116,1,0,2,1,0,0,"(8, 19)",Success
117,0,0,1,1,0,6,"(8, 20)",Success
118,2,1,3,0,2,4,"(9, 4)",Failed
119,2,1,2,2,2,2,"(9, 6)",Success
120,2,2,3,1,2,3,"(9, 7)",Success
121,2,1,4,2,0,2,"(9, 9)",Success
122,2,2,1,1,0,1,"(9, 10)",Success
123,1,2,3,2,4,5,"(9, 11)",Success
124,1,2,2,1,1,1,"(9, 12)",Success
125,3,1,3,0,1,3,"(9, 13)",Success
126,1,0,5,1,0,5,"(9, 14)",Failed
127,1,2,2,2,0,2,"(9, 15)",Success
128,1,0,4,0,0,6,"(9, 16)",Failed
129,4,0,2,0,0,3,"(9, 17)",Failed
130,0,0,3,1,1,5,"(9, 18)",Failed
131,3,3,3,1,1,2,"(9, 19)",Success
132,3,0,2,1,0,2,"(9, 20)",Failed
133,1,2,2,0,1,2,"(10, 5)",Success
134,1,1,1,1,0,1,"(10, 6)",Success
135,3,1,2,1,1,2,"(10, 7)",Success
136,2,1,0,1,1,3,"(10, 8)",Success
137,1,1,1,1,0,3,"(10, 9)",Success
138,1,2,0,0,1,2,"(10, 10)",Success
139,0,0,2,1,3,4,"(10, 11)",Success
140,2,1,0,1,1,4,"(10, 12)",Success
141,2,2,1,1,0,1,"(10, 13)",Success
142,3,1,1,3,1,2,"(10, 14)",Success
143,2,1,1,0,0,1,"(10, 15)",Success
144,2,1,0,1,3,3,"(10, 16)",Success
145,2,0,0,0,1,2,"(10, 17)",Success
146,0,1,0,1,0,2,"(10, 18)",Success
147,2,2,1,1,1,2,"(10, 19)",Success
148,2,1,1,0,0,3,"(10, 20)",Success
149,3,2,2,0,1,1,"(11, 4)",Success
