,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
0,10000.0,10000.0,10000.0,0.16,0.15,0.155,10000.0,10000.0,0.155,0.0,0.185,0.175,"(1, 4)",Success
1,10000.0,10000.0,10000.0,0.185,0.155,0.16,0.185,10000.0,10000.0,0.0,0.14,10000.0,"(1, 5)",Success
2,10000.0,10000.0,10000.0,10000.0,0.1,0.11,10000.0,10000.0,10000.0,0.0,0.12,0.125,"(1, 6)",Success
3,10000.0,10000.0,10000.0,10000.0,0.18,0.185,10000.0,10000.0,10000.0,0.0,0.15,10000.0,"(1, 7)",Success
4,10000.0,10000.0,0.24,0.235,10000.0,0.3,10000.0,10000.0,10000.0,0.0,0.335,10000.0,"(1, 8)",Success
5,10000.0,0.07,10000.0,0.105,0.085,0.09,10000.0,10000.0,10000.0,0.0,0.065,10000.0,"(1, 10)",Success
6,10000.0,10000.0,10000.0,10000.0,0.145,0.13,0.16,0.16,10000.0,10000.0,0.125,10000.0,"(1, 11)",Success
7,10000.0,10000.0,10000.0,10000.0,10000.0,0.165,10000.0,10000.0,10000.0,0.015,0.125,0.165,"(1, 12)",Success
8,10000.0,0.21,10000.0,10000.0,0.22,0.22,10000.0,10000.0,10000.0,0.0,0.2,10000.0,"(1, 13)",Success
9,10000.0,10000.0,10000.0,10000.0,0.085,0.085,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(1, 14)",Success
10,10000.0,10000.0,10000.0,10000.0,0.49,0.495,10000.0,10000.0,10000.0,0.0,0.48,10000.0,"(1, 15)",Success
11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.065,10000.0,"(1, 16)",Success
12,10000.0,10000.0,10000.0,0.29,0.265,0.27,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(1, 17)",Success
13,10000.0,0.1,10000.0,0.14,0.1,0.095,10000.0,0.125,10000.0,0.0,10000.0,10000.0,"(1, 19)",Success
14,10000.0,0.415,10000.0,0.425,0.405,0.405,10000.0,0.41,10000.0,0.0,10000.0,10000.0,"(1, 20)",Success
15,10000.0,10000.0,10000.0,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,0.035,10000.0,10000.0,"(2, 5)",Success
16,10000.0,10000.0,10000.0,10000.0,0.34,0.565,0.61,10000.0,10000.0,0.065,10000.0,10000.0,"(2, 7)",Failed
17,10000.0,0.21,10000.0,0.255,0.22,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(2, 8)",Success
18,10000.0,10000.0,10000.0,0.31,0.3,0.3,0.315,0.315,10000.0,0.0,10000.0,10000.0,"(2, 9)",Success
19,10000.0,10000.0,10000.0,0.13,0.12,0.12,10000.0,0.17,10000.0,0.0,0.165,0.175,"(2, 10)",Success
20,10000.0,0.555,10000.0,0.505,0.54,10000.0,0.53,0.535,10000.0,0.095,0.325,10000.0,"(2, 11)",Success
21,10000.0,0.2,10000.0,0.125,0.16,10000.0,10000.0,10000.0,10000.0,0.1,0.19,10000.0,"(2, 12)",Success
22,10000.0,0.255,10000.0,0.19,0.175,0.17,10000.0,10000.0,10000.0,0.01,0.255,10000.0,"(2, 13)",Success
23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.265,0.16,10000.0,10000.0,"(2, 18)",Failed
24,10000.0,10000.0,10000.0,0.64,10000.0,10000.0,0.695,10000.0,0.48,0.34,10000.0,10000.0,"(2, 19)",Failed
25,10000.0,10000.0,10000.0,0.205,0.245,0.24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,"(2, 20)",Success
26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.045,0.025,0.15,10000.0,"(4, 4)",Success
27,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.46,0.02,0.35,0.24,"(4, 5)",Success
28,10000.0,10000.0,10000.0,0.315,10000.0,10000.0,10000.0,10000.0,10000.0,0.045,0.315,10000.0,"(4, 7)",Success
29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.26,0.26,10000.0,0.07,0.24,10000.0,"(4, 9)",Success
30,10000.0,10000.0,10000.0,0.24,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.245,0.415,"(4, 10)",Success
31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.455,0.22,10000.0,10000.0,"(4, 11)",Failed
32,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.025,10000.0,10000.0,"(4, 12)",Success
33,10000.0,10000.0,10000.0,0.385,10000.0,10000.0,10000.0,0.41,10000.0,0.41,0.155,10000.0,"(4, 13)",Success
34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.265,10000.0,10000.0,"(4, 14)",Success
35,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.18,0.18,10000.0,10000.0,"(4, 15)",Failed
36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.03,0.525,10000.0,"(4, 16)",Failed
37,10000.0,10000.0,10000.0,10000.0,10000.0,0.31,10000.0,10000.0,10000.0,0.09,0.205,0.255,"(4, 19)",Success
38,10000.0,10000.0,10000.0,10000.0,10000.0,0.1,10000.0,10000.0,10000.0,0.015,0.09,10000.0,"(5, 5)",Success
39,10000.0,10000.0,10000.0,10000.0,0.135,10000.0,10000.0,10000.0,10000.0,0.005,0.085,10000.0,"(5, 6)",Success
40,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.14,0.045,0.105,10000.0,"(5, 7)",Success
41,10000.0,10000.0,10000.0,10000.0,0.25,10000.0,10000.0,10000.0,10000.0,0.035,0.23,10000.0,"(5, 8)",Success
42,10000.0,10000.0,10000.0,10000.0,10000.0,0.305,10000.0,10000.0,10000.0,0.045,0.255,0.295,"(5, 9)",Success
43,10000.0,10000.0,10000.0,0.195,10000.0,10000.0,10000.0,10000.0,10000.0,0.105,0.145,10000.0,"(5, 10)",Success
44,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.07,10000.0,10000.0,"(5, 11)",Success
45,10000.0,10000.0,10000.0,10000.0,0.12,0.11,10000.0,10000.0,10000.0,0.0,0.11,10000.0,"(5, 13)",Success
46,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.045,10000.0,"(5, 14)",Success
47,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.19,10000.0,"(5, 15)",Success
48,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.13,0.135,"(5, 16)",Success
49,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.19,0.195,"(5, 17)",Success
50,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.1,10000.0,"(5, 18)",Success
51,10000.0,10000.0,10000.0,10000.0,10000.0,0.33,10000.0,10000.0,10000.0,0.0,0.325,10000.0,"(5, 19)",Success
52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.095,0.105,"(5, 20)",Success
53,10000.0,0.335,10000.0,0.25,0.315,0.31,0.355,0.355,10000.0,0.055,10000.0,10000.0,"(6, 10)",Success
54,10000.0,0.19,10000.0,0.255,10000.0,10000.0,10000.0,0.16,10000.0,0.005,10000.0,10000.0,"(6, 12)",Success
55,10000.0,0.51,0.435,0.44,10000.0,10000.0,10000.0,10000.0,10000.0,0.315,10000.0,10000.0,"(6, 13)",Success
56,10000.0,0.64,10000.0,0.63,10000.0,10000.0,0.6,10000.0,10000.0,0.0,0.64,0.645,"(6, 14)",Success
